,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,户型介绍,周边配套,装修描述,用水类型,用电类型,售房详情,税费解析,适宜人群,交通出行,燃气价格,别墅类型,权属抵押
496,['中国铁建保利像素'],钱塘区-大学城北,120.391309,30.339239,275,31018,提前预约随时可看,103116515412,3,3室1厅1厨2卫,高楼层 (共33层),88.66㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2021-08-08,商品房,2019-04-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,190813568787,"
                    
自住精装修，3房2卫生间，客厅带阳台，楼层好
                  ","
                    水云和达城购物商城，百联奥特莱斯购物商城，近德胜高架，交通便利，小区边上有菜场、饭店、理发店等，生活设施齐全，教育设施完善
                  ",,,"
                    地铁一号线文海南站、云水站：公交车390路，直达至文海南地铁站，公交448路直达至云水站，距离约2.9公里
                  ",,,,,,,,,,
497,['宋都晨光国际'],钱塘区-沿江南,120.385947,30.290535,295,31837,提前预约随时可看,103113573402,30,3室2厅1厨1卫,高楼层 (共33层),92.66㎡,平层,66.61㎡,板楼,南 北,框架结构,精装,两梯四户,有,2021-02-28,商品房,2015-11-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210302FM381199,"
                     三房户型 边套 采光好无遮挡 随时看房 诚心卖
                  ","
                    宋都晨光国际规划采用点板式相结合的对称式布局，建筑天际线错落有致，在实现产品均好品质的基础上，尽量让每幢建筑拥有阔绰的空间，小区*高层近150米。建筑单体设计健康住宅，尽量给予充足日照，在确保私密性的同时给予住户静谧无干扰的生活环境
                  ","
                    此房位于25号大街，下沙地铁终点站下沙江滨站，下沙江滨公交终点站只需800米，交通方便，小区楼下有农贸市场和小型*市，生活配套齐全。
                  ",,"
                    
小区地铁1号线终点站，公交路线有384、374、298，德胜快速路已开通，商区有东东城，物美商城，就近的医院有东方医院和邵逸夫医院。交通介绍：373，370（下沙商贸城）B1区间2（武林广场、西湖）298（庆春广场）104
                  ",,,,,,,,,,
498,['铭和苑桂雨坊'],钱塘区-金沙湖,120.336176,30.323779,330,27995,有租户需预约,103113758785,5,3室2厅1厨2卫,低楼层 (共11层),117.88㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,2021-03-09,商品房,2008-12-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210310NX531481,"
                    此房为本小区不多见的户型，三室两厅两卫，纯边套。。
                  ","
                    此房朝南，南北通风，全明户型，纯边套，客厅朝东，采光很好。在本小区，此户型也是比较受欢迎的，适合自住。


                  ",,"
                    龙湖天街，下沙银泰，物美*市，都尚*市，高沙 高沙菜市场，一应俱全。邮政储蓄银行，建设银行，中国银行，农业银行。


                  ","
                    房子简单装修  跟毛坯房一模一样 自己可以随意发挥装修想象力  装修自己喜欢的房子
                  ","
                    地铁1号线金沙湖站 德胜高架幸福南路出入口 下沙路，之江东路，交通方便。


                  ",,,,,,,,,
499,['中国铁建保利像素'],钱塘区-大学城北,120.391309,30.339239,265,29600,提前预约随时可看,103114221538,4,3室2厅1厨2卫,高楼层 (共33层),89.53㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-04-01,商品房,2019-06-11,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,210401SV399772,"
                    西边套精装3房两卫，楼层适中，无遮挡，视野好
                  ","
                    央企保利品质楼盘，百分之40的绿化，保利物业保驾护航，小区位于大学城北板块，隔壁有水云和达城，圈圈里。
                  ","
                    水云和达城购物商城，百联奥特莱斯购物商城，近德胜高架，交通便利，小区边上有*市、菜场、饭店、理发店等，生活设施齐全，教育设施完善
                  ",,,,,,,,,,,,
500,['四季风景苑'],钱塘区-高教园区西,120.353826,30.308822,470,24277,提前预约随时可看,103113986015,14,6室1厅2厨2卫,高楼层 (共28层),193.6㎡,跃层,152.23㎡,平房,南,混合结构,简装,两梯四户,有,2021-03-20,商品房,2011-06-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,181031458581,"
                    此房满五年，顶跃带露台，业主诚心卖
                  ","
                    四季风景苑小区坐落在环境优美，地处四号大街五号大街交叉口。 物业是久悦物业，下沙这边还是比较好的一个物业公司，现在有三个小区是久悦物业在管理的业主也很信任，小区环境也很好。
                  ","
                    公园：锦麟公园（500米）怡乐园（100米） 商场：物美商场（500米）新美商城（500米）上品折扣（500米）龙湖天街（2000米） 医院：东方医院（500米）邵逸夫医院（2500米）
                  ",,"
                    文泽路地铁站（800米） 五号路四号大街口 - 公交站（300米） 途经公交车： 210路 四号大街五号路东口 - 公交站（300米） 途经公交车： 210路 399路 八号大街五号路口 - 公交站（300米） 途经公交车： 375路
                  ",,,,,,,,,,
501,['精欧荣寓'],钱塘区-高教园区西,120.357686,30.308667,570,29629,提前预约随时可看,103115927864,3,4室2厅1厨2卫,高楼层 (共28层),192.38㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,2021-07-04,商品房,2016-07-12,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,210708DM374837,"
                    近地铁，交通方便，中高楼层，视野开阔，大户型，毛坯的
                  ","
                    
该小区2011年拿地，2013年入住，小区规划设计合理，有效做到人车分流!
                  ","
                    
商场：物美、新美商城、上品折扣、下沙商贸城；电影院：歌纳国际影城、华元电影大世界；银行：建设银行、农业银行！
                  ",,"
                    南面六号大街九号路口：地铁一号线文泽路1公里，375路;388路公交，北面四号大街九号路口：104路;264路;320路;375路;390路;399路;868路区间公交!
                  ",,,,,,,,,,
502,['下沙文汇苑'],钱塘区-高教园区西,120.351201,30.311729,410,27638,提前预约随时可看,103114951531,2,3室2厅1厨2卫,中楼层 (共19层),148.35㎡,平层,122.2㎡,塔楼,南,钢结构,简装,两梯两户,有,2021-05-10,商品房,2009-09-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,201101JK224360,"
                    此房是边套，楼层好中间.楼层，采光足，诚心卖.
                  ","
                    文汇苑由多层、小高层、及沿街商铺组成等多种产品组成，建筑风格简洁明快、时尚现代，体现以人为本的建筑精神。社区内高绿化自然景观，实现真正的多氧社区。
                  ","
                    公园：锦麟公园（500米）怡乐园（100米） 商场：物美商场（500米）新美商城（500米）上品折扣（500米）龙湖天街（2000米） 医院：东方医院（500米）邵逸夫医院（2500米）。
                  ",,"
                    此房满五不唯一 无需增值税   ，个税：4.1万     契税：首套6.05万  二套8.2万  
                  ",,,,,"
                    距离小区500米就是文泽路地铁站，小区100有四号大街五号路口公交站，373,365,378等多路公交房主自荐(业主对房源的描述)
                  ",,,,,
503,['世茂江滨花园碧景湾'],钱塘区-沿江南,120.390051,30.291103,243,28077,提前预约随时可看,103116623727,12,2室1厅1厨1卫,高楼层 (共29层),86.55㎡,平层,63.1㎡,板楼,南,钢混结构,简装,两梯四户,有,2021-08-14,商品房,2010-03-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200801ZJ320287,"
                    离地铁只有50米，交通很方便 ，房东诚心出售
                  ","
                    世茂江滨花园位于下沙城东，东临钱塘江，北接14号大街，西连25号大街，南临20号大街，总用地面积约27.6万㎡，总建筑面积约70万㎡。世茂江滨花园整体由市政道路独立分割为三大独立地块，沿钱塘江岸南北依次排布，规划建设成一个拥有六大风情园林和尊贵会所
                  ","
                    建设银行、浦发银行 tm机均不过2000米，北面就是英派斯健身和东港幼儿园，让您可以在休息时间尽情的放松，英派斯健身会所配有泳池，羽毛球，乒乓球，网球等休闲设施大卖场做公交3站就到，距离听涛不到300米，生活休闲配套设施完整
                  ",,"
                    小区出门50米就是十六号大街二十五路口公交站，十八号大街二十三路口公交站，二十三号大街十六号路口公交站，公交373,374,384,449,289,376，出行方便
                  ",,,,,,,,,,
504,['江盛江南岸'],钱塘区-大江东,120.546931,30.289439,280,17609,提前预约随时可看,103113907219,4,4室2厅1厨2卫,低楼层 (共14层),159.01㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,暂无数据,2021-03-16,商品房,2017-04-17,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,210323PO938796,"
                    此房配套完善，格局良好，采光充足
                  ","
                    江盛江南岸坐落于大江东区域，邻近新湾街道商贸城，是大江东新城区域低密度生态社区。小区邻近酒店，配套完善
                  ","
                    小区边上有苏杭情*市（新湾店），浙江湖商村镇银行（新湾支行），直线0.2公里
新湾公园，直线0.3公里
南沙公园，直线0.3公里
                  ",,"
                    新湾公交站（511路，674路，743路，880路）直线0.2公里、
闸口路新湾大道口，直线0.2公里
                  ",,,,,,,,,,
505,['美郡园'],钱塘区-大江东,120.49877866834,30.278997528127,240,21442,提前预约随时可看,103110505487,18,2室2厅1厨2卫,高楼层 (共7层),111.93㎡,平层,91.92㎡,板楼,南,钢混结构,精装,一梯两户,暂无数据,2020-07-30,商品房,2013-12-03,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,200803AL555212,"
                    全套精装修 拎包入住  带车位 户型方正
                  ","
                    小区一共 8幢房子 ，入住率高 ，小区24小时安保巡逻。物业管理完善
                  ","
                    地铁7号线，购物广场200米距离 大江东医院300米，*市 ， 配套齐全
                  ",,"
                    房子全套精装修  品牌家具家电，房东之前一直自住 保养好 拎包入住
                  ",,,,,,,,,,
506,['名城湖左岸'],钱塘区-金沙湖,120.333123,30.320517,400,44604,提前预约随时可看,103112260070,22,4室2厅1厨2卫,高楼层 (共19层),89.68㎡,跃层,63.75㎡,平房,南,框架结构,简装,两梯四户,有,2020-11-17,商品房,2015-08-05,普通住宅,满五年,非共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,201010WT760120,"
                    此房满五年 格局好 互相方正 楼层好
                  ","
                    小区介绍：本小区为 于2016年2月被龙湖物业接管 现如今小区绿化优美 树木 错落有致 小区道路干净 人车分流 物业响应率很高
                  ","
                    房子是2012年建成的交付的楼龄新配套成熟，房子是跃层的 得房率高 上下两层 动静分离 视野宽阔 采光充足，格局方正，中高楼层 视野好并且在家里就可以观赏到金沙湖公园的景色
                  ","
                    
配套：本房位于金沙湖板块，地段繁华，闹中取静，配套齐全：距离龙湖时代天街800米，物美大卖场，下沙银泰城，地铁一号线金沙湖地铁站，距离德胜高架1000米左右，到杭州人工湖金沙湖距离1200米以内，不管是购物娱乐、游玩、还是交通出行都比较便利
                  ",,,,,,,,,,,
507,['龙湖滟澜山澜轩'],钱塘区-金沙湖,120.337019,30.317294,860,45968,提前预约随时可看,103117286718,2,4室1厅1厨3卫,低楼层 (共24层),187.09㎡,平层,150.95㎡,板楼,南,钢混结构,精装,两梯两户,有,2021-09-21,商品房,2013-08-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,170624334499,"
                    
此房满五年，采光充足，小区环境好，配套设施齐
                  ","
                    小区为龙湖高品质开发商，此房在龙湖二期，小区由9幢洋房和5幢，物业管理严格，绿化好，环境好
                  ","
                    华润万家、联华、物美，还有美达晓城天地，金沙湖1号地下商城，生活购物足不出户，金沙湖公园，邵逸夫医院，希尔顿酒店。龙湖天街就在南侧几十米，地铁站就在旁边300米，交通出行生活十分方便
                  ",,"
                    地铁1号线金沙湖站。公交站：上沙路华景街口（公交站）174路； 金沙大道海达南路口（公交站）374路，384路夜间线；下沙（公交站）328路，363路，365路，373路，376路
                  ",,,,,,,,,,
508,['梦琴湾'],钱塘区-沿江北,120.395967,30.303974,323,28489,提前预约随时可看,103116636012,9,3室2厅1厨2卫,中楼层 (共30层),113.38㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2021-08-15,商品房,2014-11-04,普通住宅,满五年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,201031AE195519,"
                    
业主自住装修，保养好，楼层好可看江，诚心卖！
                  ","
                    
此房为2007年的商品房，小区内楼间距大，环境优美，小区实行人车分流。物业是华元物业，每天有保安巡逻，小区人车分流，地上也有停车位。小区设有游泳池，老年活动场，健身房，小孩沙池等娱乐设施
                  ","
                    银行：上海银行24小时自助银行（27号大街）、上海浦东发展银行ATM、上海浦东发展银行24小时自助银行（10号大街），中国工商银行ATM、中国
                  ",,"
                    
地铁：1号线 云水站1200米。公交:学正街公交站(373路/104路) 二十七号路六号大街口(373路/104路) 十号大街二十七号路口(373路/104路
                  ",,,,,,,,,,
509,['宋都晨光国际'],钱塘区-沿江南,120.385947,30.290535,428,31207,提前预约随时可看,103116627693,8,4室2厅1厨2卫,低楼层 (共42层),137.15㎡,平层,101.66㎡,板楼,南,框架结构,精装,三梯四户,有,2021-08-14,商品房,2016-04-11,普通住宅,满五年,共有,"
                                有抵押 50万元 招商银行 客户偿还
                              ",已上传房本照片,170428114716,"
                    此房是满五年五一，纯边套大四房精装修，南北通途采光好；
                  ","
                    
宋都晨光国际规划采用点板式相结合的对称式布局，建筑天际线错落有致，在实现产品均好品质的基础上，尽量让每幢建筑拥有阔绰的空间，小区高层近150米。建筑单体设计健康住宅，尽量给予充足日照，在确保私密性的同时给予住户静谧无干扰的生活环境
                  ","
                    此房是70年产权的商品房，满五唯一，夫妻共有产权，没有二次抵押
                  ",,"
                    
此房位于25号大街，下沙地铁终点站下沙江滨站，下沙江滨公交终点站只需800米，交通方便，小区楼下有农贸市场和小型购物，生活配套齐全。
                  ",,,,,"
                    小区地铁1号线下沙江滨站，公交路线有384、374、298，德胜快速路已开通，商区有东东城，物美商城，就近的医院有东方医院和邵逸夫医院。交通介绍：373，370（下沙商贸城）B1区间2（武林广场、西湖）298（庆春广场）104
                  ",,,,,
510,['观澜时代云邸苑'],钱塘区-沿江南,120.370079,30.272317,255,28691,提前预约随时可看,103116053519,28,3室1厅1厨1卫,中楼层 (共43层),88.88㎡,平层,59.55㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-07-11,商品房,2013-12-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200816GC979064,"
                    此房满五年唯一，双阳台精装修高楼层可看江景；三房户型不拥挤
                  ","
                    此房是2012年交付，户型是三房一卫的，双阳台，客厅主卧两房朝南带阳台，书卧和厨房朝北；次卧朝东；适合一家三口加老人居住，小区整体环境优美，适宜居住
                  ",,"
                    此房是观澜时代云邸小区，一公里以内的配套有：江潮幼儿园，江湾，东部湾基地亚运会轮滑馆，湿地公园，小区自带便利店，正在建设的职工活动区域；
                  ","
                    此房是70年产权的商品房，业主是2013年买入的，目前杭州只有一套；房子没有贷款没有抵押，产权清晰，夫妻共有产权；
                  ",,,,,,,,,,
511,['丰隆百翘香江'],钱塘区-大学城北,120.39678,30.333672,259,29020,提前预约随时可看,103116835366,5,3室2厅1厨2卫,中楼层 (共31层),89.25㎡,平层,暂无数据,板塔结合,南,钢结构,精装,两梯三户,有,2021-08-26,商品房,2017-06-20,普通住宅,满两年,共有,"
                                有抵押 160万元 工商银行 客户偿还
                              ",已上传房本照片,190511470512,"
                    
双阳台 业主精装修自住 中间楼层 正对花园 诚心出售 
                  ","
                    丰隆百翘香江位于杭州市下沙大学城北，由杭州香江易里利枫房产开发有限公司建成，总建筑面积84410，总占地面积22161，共计房屋596户，小区物业公司为浙江南都物业管理有限公司
                  ","
                    社区公交环线，地铁一号线，出行方便，高速口下沙，交通四通八达，公交车390路，直达至文海南地铁站，公交448路直达至云水站，距离约2.9公里。交通方便
                  ",,,,,,,,,,,,
512,['金沙湖1号'],钱塘区-金沙湖,120.337022,30.314828,140,19218,提前预约随时可看,103117068172,8,2室1厅1厨2卫,高楼层 (共19层),72.85㎡,跃层,暂无数据,塔楼,南,钢混结构,简装,四梯十八户,有,2021-09-07,商品房,2016-06-08,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,181227495195,"
                    格局好，楼层好，视野开阔，采光充足，配套齐全
                  ","
                    金沙湖1号为集酒店式公寓、主题商场于一体的综合体，酒店式公寓产品类型以LOFT为主。金沙湖壹号由3幢高层组成地下1层和地上2层为商地产，地面3层以上为LOFT酒店式公寓4.9米层高设计 。目前规划为集酒店式公寓、特色时尚酒店、主题商场于一体的消费综合体
                  ","
                    房子是公寓房，需要缴纳3个点的契税，1个点个税，需要缴纳差额的5.6%的综合税，0.5%的土地增值税
                  ",,,,商水,商电,,"
                    双地铁，金沙湖龙湖天街，金沙印象城 ，大型的综合体，吃喝住行都方便
                  ",,,,,
513,['四季风景苑'],钱塘区-高教园区西,120.353826,30.308822,470,24277,提前预约随时可看,103113986015,14,6室1厅2厨2卫,高楼层 (共28层),193.6㎡,跃层,152.23㎡,平房,南,混合结构,简装,两梯四户,有,2021-03-20,商品房,2011-06-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,181031458581,"
                    此房满五年，顶跃带露台，业主诚心卖
                  ","
                    四季风景苑小区坐落在环境优美，地处四号大街五号大街交叉口。 物业是久悦物业，下沙这边还是比较好的一个物业公司，现在有三个小区是久悦物业在管理的业主也很信任，小区环境也很好。
                  ","
                    公园：锦麟公园（500米）怡乐园（100米） 商场：物美商场（500米）新美商城（500米）上品折扣（500米）龙湖天街（2000米） 医院：东方医院（500米）邵逸夫医院（2500米）
                  ",,"
                    文泽路地铁站（800米） 五号路四号大街口 - 公交站（300米） 途经公交车： 210路 四号大街五号路东口 - 公交站（300米） 途经公交车： 210路 399路 八号大街五号路口 - 公交站（300米） 途经公交车： 375路
                  ",,,,,,,,,,
514,['潮闻天下'],钱塘区-大江东,120.422053,30.293017,288,21483,提前预约随时可看,103108259392,32,4室1厅1厨2卫,高楼层 (共20层),134.06㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2020-03-28,商品房,2019-05-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,181214880479,"
                    此房是东边套，三开间朝南，得房率高，采光充足无遮挡。
                  ","
                    杭州百合房地产开发有限公司 物业类别： 普通住宅,和排屋组成 物业公司：浙江开元物业服务有限公司 楼盘地址：观十五线（观潮城旁），大江东河庄街道一工段
                  ","
                    商场：河庄瑞州*市、义蓬华润万家 购物广场、英冠天地、龙湖天街、宝龙城市广场，综合商场龙虎农贸市场、世纪华联*市 医院南阳镇龙虎社区卫生站、高金利诊所、南丰社区卫生服务站、南阳街道南丰社区卫生站、郎琴社区卫生服务站
                  ",,"
                    下沙—江东大桥—观十五线—现场； 2、滨江—沿江南大道—东至三桥—建设四路向东—红十五线—塘新线—观十五线—项目现场 3、萧山—可建设四路—塘新线—红十五线—阳城路—观十五线 公交：511路（庆春广场—临江工业园）、753路（城北停车场） 有飞机场
                  ",,,,,,,,,,
515,['铭和苑新荷坊'],钱塘区-金沙湖,120.336303,30.322442,265,31484,提前预约随时可看,103115097154,20,3室1厅1厨1卫,低楼层 (共11层),84.17㎡,平层,66.7㎡,板楼,南,钢混结构,精装,一梯三户,有,2021-05-18,商品房,2015-10-28,普通住宅,满五年,共有,"
                                有抵押 48万元
                              ",已上传房本照片,210517TZ160517,"
                    纯边套户型，yuans三房户型 金沙湖商圈 诚心出售，价格可谈
                  ","
                    售房原因：房东新的房子已经好了 诚心出售， 房屋现状：房子现在是空着的，看房方便随时都可以 特殊要求：没有 付款方式都可以


                  ",,"
                    配套有天街， 印象城， 下沙银泰 医疗 有邵逸夫医院三级甲等医院


                  ",,,,,"
                    户型是纯边套的户型客厅带飘窗，主卧带阳台户型舒服，小区在售找不都几套
                  ",,,,,,
516,['和达城'],钱塘区-高教园区西,120.352994,30.314902,340,37934,提前预约随时可看,103112343982,24,3室2厅1厨1卫,低楼层 (共33层),89.63㎡,平层,67.14㎡,板楼,南 北,钢混结构,精装,两梯六户,有,2020-11-23,商品房,2014-03-24,普通住宅,满五年,共有,"
                                有抵押 建设银行
                              ",已上传房本照片,201124CT744144,"
                    此房满五唯一的，房东自住3个月精装修，3居室，东边套 南北通
                  ","
                    南北通 无遮挡 视野好 全明户型 精装 房东自住 拎包入住 看房方便 提前预约
                  ",,"
                    旁边配套齐全 有*市 银行 各类交通工具 公寓 配套的社区医院等
                  ","
                    文泽地铁站 直通家门口 文泽地铁C口 配套齐全 快速公交方便
                  ",,,,,,,,,,
517,['清雅苑'],钱塘区-高教园区西,120.37018740997,30.32007285138,305,22844,提前预约随时可看,103111797560,13,4室2厅1厨1卫,低楼层 (共6层),133.52㎡,错层,暂无数据,板楼,南,砖混结构,简装,一梯两户,有,2020-10-18,商品房,2017-01-17,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210115BJ807725,"
                    格局方正，南北采光都很好，单价比较划算，改善优选
                  ","
                    小区户型好，户型方正，利用率高；绿化好，树木高大；内有花园、水池、篮球场、乒乓球、凉亭等配套设施。
                  ","
                    适合居家自住，出租也可以，生活出行都很方便，环水居住，很舒适。
                  ",,"
                    小区500米内有4个公交站点，公交路线众多；1.5公里内有地铁1号线文海南路站。
                  ",,,,"
                    外部1.8公里内有幼儿园到初中都有，边上有新美商城、下沙商贸城、上品折扣等；农贸有海天城农贸市场、云水苑农贸市场。且小区底商丰富。医院有闻潮社区卫生服务站和浙江中医药大学附属医院，都在3公里以内。
                  ",,"
                    业主诚心出售，目前看中一套合适的房屋想置换，所以出售寻求有缘人
                  ",,,,
518,['保利玫瑰湾'],钱塘区-沿江南,120.366247,30.272166,390,28713,提前预约随时可看,103116158756,6,4室2厅1厨2卫,中楼层 (共33层),135.83㎡,平层,104.98㎡,板楼,南,钢混结构,简装,两梯三户,有,2021-07-17,商品房,2016-05-09,普通住宅,满五年,非共有,"
                                有抵押 200万元 浙商银行 客户偿还
                              ",已上传房本照片,210814XC477915,"
                    保利玫瑰湾，朝南双阳台，得房率高；此房满五唯一
                  ","
                    保利玫瑰湾得房率高，业主自住多，小区内部自带游泳池，儿童游乐设施，物业为保利物业，安保到位
                  ",,"
                    24号大街横贯保利，西邻15号大街；公交站24号大街东有384374298;距离地铁一号线首站-下沙江滨站2500米，物美，邵逸夫，东方医院，配套完善，生活便利
                  ","
                    距离地铁一号线下沙江滨站1.8公里（百度地图测得）、小区300米左右有384、374、302..
                  ",,,,,,,,,,
519,['清雅苑'],钱塘区-高教园区西,120.37018740997,30.32007285138,282,25989,提前预约随时可看,103113450896,24,3室2厅1厨1卫,高楼层 (共6层),108.51㎡,错层,88.51㎡,板楼,南 北,砖混结构,简装,一梯两户,无,2021-02-22,商品房,2017-08-07,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210330QN058347,"
                    此房满五年，无增值税，毛坯出租，可重新装修。户型方正。
                  ","
                    小区环境优美，是下沙物美面积很大的一个小区，旁边有警官学院和理工大学，小区内有独立的幼儿园，专为小区居民打造，生活出行便利，适合居住
                  ","
                    属于物美上商圈，本商圈有1所三甲医院（浙江省中医院下沙分院），2家物美大型购物*市，盛泰开元名都大酒店，杭州外国语也在本商圈；商圈还配有2公里以内还有世纪联华*市、华润万家，距龙湖天街。分布有工、农、建、中、等多家银行。
                  ",,,,,,,,,,,,
520,['观澜时代云邸苑'],钱塘区-沿江南,120.370079,30.272317,255,28863,提前预约随时可看,103108627397,22,3室2厅1厨2卫,中楼层 (共43层),88.35㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2020-04-17,商品房,2017-02-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,200419099163,"
                    房子的采光很好，楼层高视野开阔，江景视野好
                  ","
                    此房朝南，跃层，层高6米，楼下客厅朝南带阳台，楼下卫生间改成储物间，储物空间大，厨房，餐厅，楼上主卧朝南带飘窗，楼上卧室可以看到江，次卧和书房朝北带窗户。
                  ",,"
                    金隅农贸市场，东湾购物*市，金隅Smrt街，保利湾天地各色商铺（约70家） ：新美商场、物美*市、都尚购物、太平洋百货、福雷德广场 银行：工商银行、建设银行、交通银行、农业银行 医院：东方医院、下沙医院。
                  ","
                    小区东门到公交车站的距离为100米，乘坐公交方便，有449、302、384、384B、223、374，乘坐5站路可到下沙江滨地铁站；距离小区523米有一条之江东路辅道，为开往市区钱江新城的主要路线。
                  ",,,,,,,,,,
521,['名城湖左岸'],钱塘区-金沙湖,120.333123,30.320517,415,46431,提前预约随时可看,103112939416,11,3室2厅1厨2卫,高楼层 (共23层),89.38㎡,跃层,63.75㎡,平房,南,框架结构,精装,两梯四户,有,2021-01-06,商品房,2013-08-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210106MK911370,"
                    房子格局好，房东诚心出售，小区环境优美，视野宽阔，
                  ","
                    本小区为 于2016年2月被龙湖物业接管 现如今小区绿化优美 树木 错落有致 小区道路干净 人车分流 物业响应率很高。
                  ","
                    房子是2012年建成的交付的楼龄新配套成熟，房子是跃层的 得房率高 上下两层 动静分离 视野宽阔 采光充足，格局方正，中高楼层 视野好
                  ","
                    此房位于金沙湖板块，繁华，配套也很齐全：龙湖时代天街，物美大卖场，银泰，高沙，地铁一号线，德胜高架等，不管是交通出行，还是购物娱乐，比较便利
                  ","
                    小区离金沙湖地铁口，直线距离500米以内，小区门口就是公交站，362，363，373，出行方便
                  ",,,,,,,,,,
522,['德意义和苑'],钱塘区-大江东,120.500282,30.281226,252,20548,提前预约随时可看,103114953740,46,3室2厅1厨2卫,低楼层 (共6层),122.64㎡,跃层,111.67㎡,板楼,南,钢混结构,精装,一梯两户,无,2021-05-10,商品房,2012-05-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210511ZR320985,"
                    此房：户型房方正 采光好格局漂亮 看房子方便适合居住
                  ","
                    小区地址：钱塘新区义蓬镇大道所属区域：钱塘新区，产权描述：70年物业类别：住宅建筑年代：2009年建成开 发 商：浙江德意置业有限公司建筑结构：框架结构建筑类型：塔楼建筑面积：60950平方米房屋总数：410户楼栋总数：24栋物业公司
                  ","
                    幼儿园：灯塔幼儿园 义盛小星星幼儿园：义蓬镇初级大学：---商场：世纪联华*市 新益佳连锁*市朝友店医院：---邮局：----银行：上海浦东发展银行江东支行 中信银行杭州临江支行其他：宇记川菜馆 顺旺基小区内部配套：棋牌室 阅览室 洗衣
                  ",,"
                    地铁口300米 义蓬公交站-公交车站351路 义蓬车站-公交车站743路农场线 义蓬镇政府-公交车站293路; 351路
                  ",,,,,,,,,,
523,['兴耀星悦湾'],钱塘区-大江东,120.488191,30.26069,830,27465,提前预约随时可看,103111344261,27,5室2厅1厨3卫,低楼层 (共3层),302.21㎡,,暂无数据,,南,混合结构,毛坯,,,2020-09-18,商品房,2019-03-14,别墅,满两年,非共有,"
                                有抵押 310万元
                              ",已上传房本照片,200918JR563146,"
                    小区位于7号线义南站口 ，有院子 上下五层排屋 ，户型方正 
                  ","
                    户型地下两层，地上三层 ，屋内有电梯预留井，有前后院子，户型结构方正
                  ",,"
                    房子前后有院子，是上下5层排屋，适合改善型客户，一大家居住。
                  ",,,,,,,"
                    小区位于7号线义南站口 ，出行很方便，距离机场就两站路。门口公交车出行方便
                  ",,,独栋,
