,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,适宜人群,周边配套,用水类型,用电类型,燃气价格,户型介绍,装修描述,税费解析,权属抵押,售房详情,交通出行,别墅类型
277,['雅仕苑'],西湖-文一西路,120.112094,30.291611,810,42994,提前预约随时可看,103117176605,9,4室2厅1厨3卫,中楼层 (共6层),188.4㎡,跃层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-09-13,商品房,2016-12-26,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,190507972057,"
                    雅仕苑 顶跃  第三层为储藏室 ，至2021年年底满五.
                  ","
                    雅仕苑位于文一西路149号，东临浙财文华校区，西至东海名仕家园，南连金成花园，北接文一西路。小区环境优美，景色宜人，设施齐全，有游泳池，花园，健身设施，小区低密度，高绿化，配套成熟，交通便利，无工厂污染，24小时保安值班.
                  ","
                    小区旁边就是大型苏宁易购数码城；500米内有雅仕苑小型农贸市场和骆家庄大型智慧农贸市场，瓜果蔬菜种类繁多；距小区北门口1500米内有城西银泰城、古墩路印象城和西城广场等大型商场。购物方便；距离西溪湿地景区也只有3500米...
                  ",,"
                    小区800米左右有地铁，小区北门及西门门口都有公交车站，交通发达
                  ",,,,,,,,,,
278,['融创瑷骊山'],西湖-转塘,120.07127,30.148545,1000,44297,提前预约随时可看,103111289343,6,5室2厅1厨3卫,低楼层 (共7层),225.75㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,有,2020-09-14,商品房,2016-04-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,170510794285,"
                    瑷骊山花园洋房，一楼带负一楼带花园，看房方便
                  ","
                    融科瑷骊山外身居之江旅游度假区内，周 边有西湖国际高尔夫、度假村等高尚配套，社区内有2万㎡英式园林景观可玩可赏。项目秉承英伦都铎式建筑风格，打造专属主流尊崇所享的山地景观住宅社区
                  ","
                    商场：世纪华联转塘店、永辉*市，华润万家、首尔印象、摩登、大型主题公园宋城 休闲：西湖高尔夫、西湖风景名胜区。农业银行转塘储蓄所
                  ",,"
                    角亭(公交站)121米地址：189路;1400路2八角亭东(公交站)261米地址：189路3沙泥塘(公交站)452米地址：189路;1400路4沙泥塘北(公交站)560米地址：287路;514A线;514B线;沙泥塘北(杭七中)(公交站)579米.六号线地铁口800米
                  ",,,,,,,,,,
279,['坤和和家园'],西湖-西溪,120.068675,30.239364,970,43900,提前预约随时可看,103112521966,112,5室1厅1厨4卫,低楼层 (共11层),220.96㎡,复式,182.49㎡,板楼,南 北,钢混结构,毛坯,两梯两户,有,2020-12-06,商品房,2013-03-07,普通住宅,满五年,非共有,"
                                有抵押 628万元
                              ",已上传房本照片,180618024767,"
                    跃层户型，客厅6米挑空。位置好，风景好！
                  ","
                    
和家园小区是由坤和地产开发的一个大型人文生态社区，隶属于西湖区留下街道管辖，小区沿杨梅山路两侧分布，目前建成有御园、紫园、翰园、懿园、鼎园、景园、琉园等七个园区，小区里边绿树成荫、生态环境优美，而且各项配套成熟，是一个生态宜居的社区。
                  ","
                    
小区生态环境优美，而且各种户型都有，既适合刚需购房，也适合改善居住，同时也比较适合养老居住。
                  ","
                    小区配套成熟，杨梅山路两侧是一条步行街，有联华*市，蓝山咖啡，星巴克咖啡，杭州银行，民生银行，春光大药房等配套设施；距离小区5公里范围内，还有西溪印象城、建设银行、农业银行、邮政储蓄银行等生活配套。
                  ",,,,,,,,,,,
280,['月桂花园'],西湖-文三西路,120.110755,30.281495,1020,45354,提前预约随时可看,103106315294,254,6室2厅1厨3卫,低楼层 (共3层),224.9㎡,跃层,暂无数据,板楼,南,钢混结构,简装,一梯一户,有,2019-09-27,商品房,2005-10-20,普通住宅,满五年,非共有,"
                                有抵押 500万元 招商银行 客户偿还
                              ",已上传房本照片,190407909372,"
                    总高4层 这套房子3越4层 空间大 低密度 高品质排屋 带70平..
                  ","
                    绿城的物业，绿城开发商，城西高品质住宅。小区配有游泳池，环境优美。地理位置优越，出行方便，小区安全  
                  ","
                    农业银行和中国邮政距离小区500米不到，绿城医院距离小区2000米，距离文三西路世纪联华1000米生活设施配套齐全。
                  ",,"
                    装修简洁不失dqi，清爽不乏温馨，材料均为上等材料，安全健康无污染，给您怡然自得的舒心生活
                  ",,,,,,,,,,
281,['南都花园别墅'],西湖-文一西路,120.109824,30.297004,1980,103861,提前预约随时可看,103117030207,9,5室3厅1厨3卫,低楼层 (共1层),190.64㎡,,暂无数据,,南,钢混结构,简装,,,2021-09-05,商品房,2002-01-25,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200915IN248850,"
                    小区安静位置，双拼别墅，带300方私家花园，带车位，满五年
                  ","
                    小区沿河，步行到城西印象城，银泰都很方便，正南边就是大型苏宁易购数码城，往西1000米西城年华广场，北1500米城西银泰，距离西溪湿地景区也只有3000米，小区边上的骆家庄快速公交站也只有50米的距离，购物，出行，娱乐，工作都很方便
                  ",,,"
                    公交车站有骆家庄快速公交站，雅仕苑站，有蒋村公交车站，有众多的公交线路，25路，53路，134路，74路，43路等等
                  ",,,,,,,,,,双拼
282,['中海定山府'],西湖-转塘,120.068853,30.149384,710,29449,提前预约随时可看,103111605271,27,5室2厅1厨3卫,高楼层 (共15层),241.1㎡,跃层,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,2020-10-06,商品房,2016-07-28,普通住宅,满五年,共有,"
                                有抵押 400万元
                              ",已上传房本照片,190308087141,"
                    朝南，得房高，诚心卖，生活方便，地铁6号线
                  ","
                    四周 多重山麓环抱，四大风景区环伺，五百公顷原生林环合，东面钱塘，西倚双流城市公园，东北毗.邻中国美院，兼得西湖山水与醇厚人文，更坐拥杭州传统精装板块和价值千亿新城配套
                  ","
                    奥莱金街，象山国际广场、华润万家、江口大厦、世纪联华昊元之江时代、世纪联华、金街美地、上海华联；2银行：农行、杭州银行、建设银行；3公园：西湖国际高尔夫、4医院：杭州之江医院。
                  ",,"
                    地铁6号线年底通车，之江大桥现已开通，连通之江新城与滨江。驾车即可直接经此进入滨江，不用再走钱塘江大桥和复兴大桥。紫之隧道长14.4公里，2012年12月开工，是杭州较大的市政交通项目。一头连接紫荆港路，一头连接之浦路。
                  ",,,,,,,,,,
283,['协安紫郡'],西湖-三墩,120.078137,30.331579,1300,55261,提前预约随时可看,103111424084,58,5室2厅1厨2卫,高楼层 (共18层),235.25㎡,跃层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,2020-09-23,商品房,2018-01-26,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,191218273034,"
                    此房东诚心出售，顶跃带露台西边套 地铁口交通方便 次新房
                  ","
                    本房是2015年交付的，小区管理的好，绿化好，居住的舒心，项目占地约172亩
                  ","
                    三墩美食街，金地广场，西田城，303广场，浙江医院分院，生活便利
                  ",,,,,,,,,,,,
284,['星洲花园红树林'],西湖-文一西路,120.10304,30.296779,1025,54647,提前预约随时可看,103113691047,48,4室2厅1厨2卫,高楼层 (共6层),187.57㎡,跃层,170.42㎡,板塔结合,南,砖混结构,精装,一梯两户,无,2021-03-06,商品房,2012-08-02,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,171203664565,"
                    
装修好，位置中间，带南北露台，客厅朝南，采光透彻
                  ","
                    
小区位于古墩路和星艺街交叉口，地段繁华，大型的骆家庄农贸市场，印象城、沃尔玛*市等距离小区1500米左右，生活氛围浓厚，距离西溪湿地，城西银泰，西溪银泰1公里，绿城医院，同德医院都在1公里内
                  ",,,"
                    
出门即是政新花园站有多条公交线路（89、17、211、278、74、860等）交通便捷，小区门口50米地铁2线文新站。
                  ",,,,,,,,,,
285,['沁雅花园'],西湖-文三西路,120.113598,30.281186,580,43014,提前预约随时可看,103111685717,37,4室3厅1厨2卫,高楼层 (共6层),134.84㎡,跃层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2020-10-11,商品房,2002-09-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200930OL886423,"
                    此房满二年，三房朝南厅朝北，带两个卫生间、两阳台!
                  ","
                    沁雅花园位于文三西路与竟舟路口，小区内有多层小高层组成，北面是香樟公寓，东面是丹桂公寓，南面是山水人家，小区内环境优美景观设计合理
                  ","
                    边上配套设施成熟位于城西位置商场*市很是方便 另外小区旁边有联华购物边还有广发银行、农行，步行到莲花广场，平时休息散步都好，还有各种美食店，休闲娱乐店，都可以步行去的，到绿城医院、省立同德医院也比较方便
                  ",,"
                    该房装修清爽，可直接入住，采光明亮，厨房，卫生间装修明亮干净。
                  ",,,,,,,,,,
286,['亚洲城花园'],西湖-古荡,120.118503,30.281647,680,45653,提前预约随时可看,103117465891,0,5室2厅1厨2卫,高楼层 (共7层),148.95㎡,跃层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-10-03,商品房,2004-09-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211003YQ640488,"
                    满5唯一  顶跃 带3个大露台 诚心出售 5房2厅2卫  很多空间
                  ","
                    此小区的开发商是香港的开发商，主要是针对香港和台湾人造的涉外小区。是城西比较新的一批的商品房
                  ","
                    小区旁边有鲜水果店、有移动电信手机营业厅、有工商招商农行中国银行，农行等自助取款机、另还步行150米是古荡新村的社区医院和古荡农贸市场，居家生活便利。
                  ",,"
                    
交通出行方便，文三西路、丰潭路是主干道。小区旁边公交线路众多：古荡新村西、古荡新村、古荡小区、丰潭路文三西路口公交站。24/K24路、41/K41路、81/K81路、270/K270路、290/K290路、K900路、K203路(夜间线)、K209路(夜间线)。
                  ",,,,,,,,,,
287,['钱江之江新天地'],西湖-转塘,120.09467,30.137025,125,18072,提前预约随时可看,103117643143,0,2室1厅1厨1卫,高楼层 (共6层),69.17㎡,平层,53.51㎡,塔楼,西,砖混结构,简装,一梯三户,无,2021-10-14,商品房,2016-04-11,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211014BJ516669,"
                    地铁口不限低总价项目，房东诚意出售的，看房也方便

                  ","
                    之江新天地，建筑年代是2012，物业公司为杭州彩虹物业管理有限公司，小区共15栋楼


                  ","
                    有杭州联合银行，杭州市委党校，杭州计算机学院，中大银座，云溪小镇会展，配套设施有待发展。桔子酒店，金街美地，象山国际，之江医院，省立同德医院
                  ",,"
                    地铁6号线科海路站旁，距离小区仅100米，出行都是比较方便了的。
                  ",民水,民电,,,,,,,,
288,['南都德迦西区'],西湖-文三西路,120.109813,30.287517,860,32967,提前预约随时可看,103103462738,57,6室2厅1厨3卫,高楼层 (共5层),260.87㎡,复式,暂无数据,板塔结合,南,混合结构,简装,一梯两户,无,2018-11-26,商品房,2017-10-19,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,170327241058,"
                    房子南北格局好，一层架空带花园，阳光充足，业主诚心出售
                  ","
                    小区房子质量很不错，欧式风格，红色外观，看起来很新，房子是5层的多层，这套房子一层架空带个大花园，采光比较好，住着舒服。
                  ","
                    
距离地铁口800米左右，小区的北门和东门门口都有一个公交站，出行很方便
                  ",,,,,,,,,,,"
                    此小区是2000年造的商品房，西区一共24栋楼，物业为南都物业公司，24小时全天候物业管理，德加公寓的建筑具备良好的观赏性和艺术性，优雅的欧式建筑和随处可见的绿树、清泉使居住在这里的人们享受到一份喧嚣城市中独特的宁静和优越。
                  ",
289,['墩莳家园'],西湖-良渚,120.07185054097,30.342803875124,215,34285,提前预约随时可看,103117771201,0,2室1厅1厨1卫,高楼层 (共27层),62.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2021-10-23,商品房,2017-05-23,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211023DQ238549,"
                    满五年  精装修  拎包入住  全明户型  
                  ","
                    小区距大禹路甲来路小区仅50米，校区一共有36个班级，主要生活来源三墩北的都市阳光和苑，嘉园，乐园，华苑，墩莳等小区
                  ",,,"
                    
距离二号线白洋站1.8公里，距离四号线紫金港路站1.3公里，小区门口就是公交站有37路，37路快，1214M公交。
                  ",,,,,,,,,,
290,['翠苑五区'],西湖-翠苑,120.127729,30.289521,430,40852,有租户需预约,103117706247,1,3室1厅1厨1卫,高楼层 (共18层),105.26㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯七户,有,2021-10-19,商品房,1999-12-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,170420392984,"
                    此房 电梯房 户型正气 近地铁 性价高
                  ","
                    
翠苑五区位于杭州市西湖文二路418号，建筑以板楼、多层、小高层为主，总1000余户。小区环境舒适，生活便利，配套设施成熟。旁边的小吃店铺很多，两个大型的chao市：文二路的世纪华联及文一路的物美。星光城综合体，在小区南面700米处（来自高德测距）
                  ","
                    
翠苑五区位于杭州市西湖文二路418号，建筑以板楼、多层、小高层为主，总1000余户。小区环境舒适，生活便利，配套设施成熟。旁边的小吃店铺很多：文二路的世纪华联及文一路的物美。星光城综合体，在小区南面700米处（来自高德测距）
                  ",,"
                    省立同德医院就在小区的西侧，古翠路地铁口距离小区的直线距离为117米（百度测距）。小区的南门就是节能公司公交站有25路;37路;41路;74路;74路快线;86路;130路;156路;199路;221路。世纪联华chao市距离小区120米（百度测距）
                  ",,,,,,,,,,
291,['中国铁建西湖国际城'],西湖-三墩,120.071628,30.338624,480,53441,有租户需预约,103117698201,1,3室1厅1厨2卫,中楼层 (共34层),89.82㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2021-10-18,商品房,2019-06-24,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,201101EN274915,"
                    三房两卫，户型方正，业主诚心出售
                  ","
                    中国铁建西湖国际城坐落于西湖区，紫金港路与张家洋路交界处，为城西科创大走廊东起点，阿里云谷、紫金众创小镇、浙大紫荆港西校区、西湖大学等，产业集聚。所处区域规划为大型集中型居住区，集城市公园
                  ","
                    生活：永旺梦乐城、303生活广场、金地广场、西田城、麦德龙、世纪联华(亲亲家园店、丰庆店)、城西银泰、西溪银泰、万达广场 医院：浙江医院三墩分院，西湖中西医结合医院
                  ",,"
                    
交通状况编辑本段 池华街公交站: B支1路、860路、37路、267路、204路、132路、149路、403路、B2路 北河桥: 860路、141路、142路、132路 吉鸿家园: 141路、141路、142路、142路 都市阳光嘉苑: 141路、141路、142路、142路 墩莳家园: 141路、141路、142路
                  ",,,,,,,,,,
292,['嘉绿名苑'],西湖-嘉绿,120.121025,30.286496,750,60382,提前预约随时可看,103117701984,5,3室2厅1厨2卫,高楼层 (共18层),124.21㎡,平层,92.88㎡,板楼,南,框架结构,精装,两梯四户,有,2021-10-18,商品房,2013-03-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211019ES888037,"
                    此房满五年，精装修，全明的三房两卫东边套
                  ","
                    嘉绿名苑地理位置优越，步行300米左右就到世纪联华华商店，步行800米到达省立同德医院，步行200米就到达嘉绿苑公园，家门口100米就设有嘉绿苑农贸市场。小区集餐饮、娱乐休闲运动于一体。位于文二路西路和文三西路中间益乐路段，繁华热闹。
                  ","
                    小区出门边上300米内有多个公交站台，车辆所到之处贯穿整个杭州，省立同德医院，世纪联华*市华商店，嘉绿农贸市场，都在商圈600米之内的距离 生活方便 距离地铁二号线丰潭站611米古翠站535米 有丰潭公园 三优乐园
                  ",,"
                    公交：K37路、K63路、K73路、81K81路、K189路、K194路、820K820路，地铁2号线丰潭站，古翠站就在旁边，距离600米左右（地图上测量距离）
                  ",,,,,,,,,,
293,['融创河滨之城水澜轩'],西湖-西溪,120.0696,30.304075,1380,100255,有租户需预约,103117735282,17,4室2厅1厨2卫,高楼层 (共17层),137.65㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯两户,有,2021-10-21,商品房,2019-10-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,211021XH070640,"
                    沿河景观四房，三开间阳台，诚心出售
                  ","
                    
融创河滨之城是融创地产和绿城合作开发的，分为一期和二期，一期精装修2017年6月底交付的，共十四幢1396户，由绿城物业管理。
                  ","
                    小区比较安静 房子在小区中间位置前面没有任何遮挡 看小区内部园林和景观
                  ","
                    
距离龙湖西溪天街1.5km，离西溪银泰城1.8km，到5号线地铁口蒋村路站1.4km，生活配套、交通出行很方便，有明康汇连锁菜市场，国际影视综合体
                  ","
                    房子是开发商装修的，装修标准是4000元/平的，空调是美的空调、科勒卫浴，房子是空调加地暖的，地面是大理石，墙体带墙纸
                  ",,,,,,,,,,
294,['物华小区'],西湖-嘉绿,120.115706,30.29741,660,46437,提前预约随时可看,103117723147,1,4室1厅1厨2卫,高楼层 (共6层),142.13㎡,跃层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-10-20,商品房,2019-08-02,普通住宅,满两年,非共有,"
                                有抵押 360万元
                              ",已上传房本照片,190420276143,,,,,,,,,,,,,,,
295,['之江九里'],西湖-之江,120.100762,30.171853,540,60262,提前预约随时可看,103117749071,2,2室2厅1厨1卫,高楼层 (共16层),89.61㎡,平层,72.7㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-10-22,商品房,2015-10-22,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,211007MU841210,"
                    中上楼层 采光好  满五唯一 税费少  诚心出售 付款好价格可谈
                  ","
                    该房子是九里系的又一项目，由华润集团和香港新鸿基地产共同建设。项目位于之江国家旅游度假区，宋城以西，之江路以南。占地面积约9万方，地上建筑面积约18万方，集城市排屋、高层公寓于一体。
                  ","
                    该套房子适合一家三口居住 小区植被茂盛 适合小朋友玩耍，有地下健身馆 游泳馆 篮球场。小区环境舒适度较好 品质比较高 。
                  ","
                    房东已经卖了市区的房子，这套卖掉后打算一起置换一套大面积自住的房子。现在看房周末可看，提前一天联系。
                  ",,,,,,,"
                    小区400米之内就有1406路190路4路121路189路202路287路308路 交通便利可直达龙翔桥，城站火车站，云栖小镇，延安路饮马巷，武林广场等。紫之隧道可达城西，之江大桥可到萧山，滨江，320国道到富阳。6号线地铁枫桦西路站就在小区西南方向，交通便利。
                  ",,"
                    该套房屋产证时间已经满五年了，且是房东唯一一套住房，个税和增值税没有了，只剩下一个点的契税。
                  ",,
296,['钱塘ONE'],西湖-转塘,120.125087,30.155014,115,36006,有租户需预约,103117813342,0,2室1厅1厨1卫,高楼层 (共12层),31.94㎡,跃层,暂无数据,板塔结合,西北,框架结构,精装,两梯三十二户,有,2021-10-26,商品房,2019-03-20,商住两用,满两年,共有,"
                                有抵押
                              ",已上传房本照片,201216WM928247	,"
                    钱塘江景房 4.79米挑高 精装2房 拎包入住
                  ","
                    开发商是杭州汇辉置业有限公司，物业是浙江绿城物业管理有限公司，小区绿化30%。小区外立面很新，新式风格；小区和正常住宅小区很类似，有独立的小区环境和入户大门，纯人车分流小区。
                  ","
                    全部都是精装交付的，一楼的厨房，油烟机、整体橱柜、预留好了冰箱位；卫生间是精装好干湿分离的。全屋空调，大面积落地窗，居住舒适度还是很高的。
                  ",,,商水,商电,3.1元/m3,,"
                    3KM左右就有6号线之浦路地铁站，之江银泰店也即将盛大开业，出门也有公交站台，小区楼下就有物美，整体生活配套设施、出行交通都是很便利的。
                  ",,,,,
297,['天目山路'],西湖-古荡,120.134159,30.279947,530,72336,提前预约随时可看,103117711567,0,3室1厅1厨1卫,中楼层 (共5层),73.27㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,暂无数据,2021-10-19,商品房,2019-06-17,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211019NR908721,"
                    保小三房，户口清爽，置换诚售，
                  ","
                    上学方便可步行。生活日常购物，农贸在步行可到。配套成熟 ， 小区内部修缮完毕，道路整洁。停车方便有划线
                  ","
                    
小区配套齐全，银行：浙商银行(杭州武林支行)、中国建设银行24小时自助银行(莫干山路支行) 医院：浙江中医药大学附属第三医院(莫干山路院区)、杭州市中医院
                  ",,"
                    
满五年，名下还有其他房子，没有增值税，因为面积小于90平米，所以不管是首套还是二套有1%契税，1%个税
                  ",,,,,,"
                    交通配套齐全，世纪联华，文三路农贸菜市场，武林门机场快速线，2号线沈塘桥站，市中医院，1公里直径覆盖 房主自荐(业主对房源的描述)
                  ",,,,
298,['融创河滨之城水澜轩'],西湖-西溪,120.0696,30.304075,730,81392,提前预约随时可看,103117724250,1,3室2厅1厨1卫,中楼层 (共18层),89.69㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2021-10-20,商品房,2018-01-22,普通住宅,满两年,非共有,"
                                有抵押 148万元 中国农业银行股份有限公司杭城西之行
                              ",已上传房本照片,211023VY213025,"
                    
此房子朝南视野好，精装修带地暖，三房二厅一卫
                  ","
                    融创河滨之城是融创地产和绿城合作开发的，东区精装修交付的，西区毛坯交付的，东区共十四幢1396户，西区18幢共2077户，此房是东区的
                  ","
                    此房适合一家三口或者老人，配套电梯入户，有地暖和空调，居住适宜
                  ","
                    龙湖西溪天街 、城西银泰；从幼儿园到初中都在800米范围内教育丰富，小区外围沿余杭塘河有公园，距离西溪湿地2公里，往西就是西部科技大走廊
                  ","
                    2017年融创开发商精装修交付，配套地暖和空调，房子厨房和淋浴都配套齐全
                  ",,,,,,,,,,
299,['华苑公寓'],西湖-文一西路,120.104148,30.293615,562,90093,提前预约随时可看,103117819634,0,2室2厅1厨1卫,高楼层 (共6层),62.38㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-10-27,商品房,2010-10-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211019KU902283,"
                    华苑公寓 两房朝南 满五唯一 实用面积大
                  ","
                    公园：距离小区500米左右，有个紫金园，不同的季节种植不同的花草，内置小椅子，闲暇时候适合带家人朋友散散步 医院：距离小区1公里左右有绿城心血管医院，3公里左右有浙江省省立同德医院 商城：距离小区1公里以内有西城广场、印象城、五洲国际
                  ",,,"
                    小区出口处就是286、186、860、89、43、25、24、54公交车站，出门500米就是西城医疗机构，800米的路程就是古墩印象城，肯德基，麦当劳，星巴克一样不少，星艺街菜场，文新夜市早晚不停，工商、农行、杭州联合银行，旁边地铁二号线已开通
                  ",,,,,,,,,,
300,['融创河滨之城水澜轩'],西湖-西溪,120.0696,30.304075,730,81392,提前预约随时可看,103117724250,1,3室2厅1厨1卫,中楼层 (共18层),89.69㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2021-10-20,商品房,2018-01-22,普通住宅,满两年,非共有,"
                                有抵押 148万元 中国农业银行股份有限公司杭城西之行
                              ",已上传房本照片,211023VY213025,"
                    
此房子朝南视野好，精装修带地暖，三房二厅一卫
                  ","
                    融创河滨之城是融创地产和绿城合作开发的，东区精装修交付的，西区毛坯交付的，东区共十四幢1396户，西区18幢共2077户，此房是东区的
                  ","
                    此房适合一家三口或者老人，配套电梯入户，有地暖和空调，居住适宜
                  ","
                    龙湖西溪天街 、城西银泰；从幼儿园到初中都在800米范围内教育丰富，小区外围沿余杭塘河有公园，距离西溪湿地2公里，往西就是西部科技大走廊
                  ","
                    2017年融创开发商精装修交付，配套地暖和空调，房子厨房和淋浴都配套齐全
                  ",,,,,,,,,,
301,['中天之江诚品'],西湖-转塘,120.075006,30.149732,430,48742,提前预约随时可看,103117729062,0,3室2厅1厨1卫,中楼层 (共17层),88.22㎡,平层,70.6㎡,塔楼,南,钢混结构,精装,两梯四户,有,2021-10-20,商品房,2019-03-14,普通住宅,满两年,共有,"
                                有抵押 100万元 中国邮政储蓄银行股份有限公司 业主自还
                              ",已上传房本照片,211026DS432867,,,,,,,,,,,,,,,
302,['华苑公寓'],西湖-文一西路,120.104148,30.293615,720,89653,提前预约随时可看,103117807916,0,2室2厅1厨1卫,中楼层 (共7层),80.31㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,无,2021-10-26,商品房,2016-09-20,普通住宅,满五年,共有,"
                                有抵押 100万元 按揭
                              ",已上传房本照片,211026NZ436829,"
                    华苑公寓 两年前自住精装 边套全明户型 满五唯一
                  ","
                    公园：距离小区500米左右，有个紫金园，不同的季节种植不同的花草，内置小椅子，闲暇时候适合带家人朋友散散步 医院：距离小区1公里左右有绿城心血管医院，3公里左右有浙江省省立同德医院 商城：距离小区1公里以内有西城广场、印象城、五洲国际
                  ",,,"
                    
小区出口处就是286、186、860、89、43、25、24、54公交车站，出门500米就是西城医疗机构，800米的路程就是古墩印象城，肯德基，麦当劳，星巴克一样不少，星艺街菜场，文新夜市早晚不停，工商、农行、杭州联合银行，旁边地铁二号线已开通
                  ",,,,,,,,,,
303,['金地自在城鹭影轩'],西湖-三墩,120.071307,30.333688,800,65136,提前预约随时可看,103117725231,1,3室2厅1厨2卫,中楼层 (共5层),122.82㎡,平层,109.42㎡,板楼,南 北,钢混结构,精装,一梯两户,有,2021-10-20,商品房,2014-10-28,普通住宅,满五年,共有,"
                                有抵押 290万元 中国银行瑞安支行 客户偿还
                              ",已上传房本照片,211020KR966827,"
                    满五唯一，自住精装修保养好，南北通透，户型方正，南北双阳台
                  ","
                    金地自在城项目中天房地产开发有限公司开发，位于杭州市西湖区三墩镇，地块内金家汇河、董家桥河、池华港河、三墩港河四条天然河道。建筑类型包括杭城少见的大规模城市别墅组团、花园洋房、精装修高层景观公寓等，是目前杭州三墩板块规模较大的建筑群
                  ","
                    
金地广场，三墩新天地、五里塘河风情街、沃尔玛、永旺梦乐城，银泰等大型生活设施配套，还有池华街公交总站等交通设施。
                  ",,"
                    地铁4号线（年底通）、三墩公交终点站、快速公交终点站、快速公交2 项目近三墩公交总站、金渡北路公交总站，拥有B支1、B2、37、204、349、403、860等等众多公交线路及四通八达的交通体系；项目可通过紫金港路与绕城高速连接，经古墩路与市终点对接
                  ",,,,,,,,,,
304,['中国铁建西湖国际城'],西湖-三墩,120.071628,30.338624,880,68928,提前预约随时可看,103117719856,5,4室2厅1厨2卫,中楼层 (共6层),127.67㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,2021-10-20,商品房,2019-05-17,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211019PN905859,"
                    西湖区 精装修洋房 中间楼层 无遮挡 房东诚心急售！
                  ","
                    
中国铁建西湖国际城坐落于西湖区，紫金港路与张家洋路交界处，为城西科创大走廊东起点，阿里云谷、紫金众创小镇、浙大紫荆港西校区、西湖大学等，产业集聚。所处区域规划为大型集中型居住区，集城市公园。
                  ","
                    生活配套：303生活广场、金地广场、西田城、麦德龙、世纪联华、北京联华， 浙江医院三墩分院，西湖中西医结合医院
                  ",,"
                    
池华街公交站: B支1路、860路、37路、267路、204路、132路、149路、403路、B2路 北河桥: 860路、141路、142路、132路，都市阳光嘉苑: 141路、141路、142路、142路 墩莳家园: 141路、141路、142路，2号线金家渡地铁站，4号线紫金港北路站（年底开通）
                  ",,,,,,,,,,
305,['中海定山府'],西湖-转塘,120.068853,30.149384,315,36467,提前预约随时可看,103117783499,4,3室2厅1厨1卫,低楼层 (共17层),86.38㎡,平层,65.29㎡,板楼,南,钢混结构,精装,两梯两户,有,2021-10-24,商品房,2014-10-20,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,210517MQ109710,,,,,,,,,,,,,,,
