,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,税费解析,用水类型,用电类型,燃气价格,户型介绍,适宜人群,装修描述,售房详情,交通出行,别墅类型,权属抵押
844,['中南白马湖壹号'],滨江-白马湖,120.190896,30.153671,415,46814,只周末可看,103114868472,6,3室2厅1厨2卫,中楼层 (共18层),88.65㎡,平层,69.61㎡,板楼,南,钢混结构,精装,两梯三户,有,2021-05-06,商品房,2018-06-27,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,210424FY455518,"
                    
绿城物业，户型方正，小区环境好
                  ","
                    开发商：杭州中南嘉伟置业有限公司 物业：绿城物业 规划：1栋花园洋房，12栋法式水岸排屋和17栋法式高层建筑群，有68-132方新法派公馆和185-206方水岸排屋等多种户型。近白马湖动漫广场和白马湖景区
                  ","
                    
医疗：滨江区妇幼保健院、萧山区城西人民医院、省儿保滨江院区等医疗资源 商夜：自带万方街，长河、四桥、滨江高校园区多重商圈，白马湖生态创意城、中南乐游城、中南购物、星光大道、物美*市、新远影城等休闲配套均可快速到达
                  ","
                    通过时代大道北上复兴大桥、中河高架可直达杭州主城区，南向连接萧山闻堰，湘湖，与彩虹大道，江南大道衔接，公交站牌有长安村站，瑛珠桥站（344路环线），孔家里站（178路），山一村站（354路，177路）
                  ",,,,,,,,,,,
845,['金盛曼城'],滨江-浦沿,120.161078,30.164881,335,37905,提前预约随时可看,103115753282,27,3室1厅1厨1卫,低楼层 (共18层),88.38㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,2021-06-25,商品房,2017-03-20,普通住宅,满两年,共有,"
                                有抵押 183万元 杭州银行 客户偿还
                              ",已上传房本照片,170502108107,"
                    此房格局好，业主自住精装，保养好 可以拎包入住
                  ","
                    此房为南向格局比较合理，建筑面积为88.38平米，此房户型为小三房的户型 ，朝向为南向
                  ",,,"
                    地铁：浦沿站(地铁4号线);公交：浦沿叉口(176路,177路,112路,115路,822路);
                  ",,,,"
                    此房未满五年有增值税有个税。以上税费仅供参考，最终税费会因您的个人情况有所偏差。
                  ",,,,,,
846,['江南文苑'],滨江-浦沿,120.151069,30.176212,420,46870,有租户需预约,103115313230,14,3室2厅1厨1卫,高楼层 (共11层),89.61㎡,平层,74.28㎡,板楼,南 北,钢混结构,精装,一梯两户,有,2021-05-31,商品房,2011-04-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210531SC802795,"
                    满五年，房东诚心出售，楼层好，采光充足，视野开阔
                  ","
                    江南文苑位于滨文路南，新浦河西项目是在国家90/70新政下开发的以中小户型为主的住宅小区，120-135M2户型占30%左右，90M2以下户型占70%左右，以11层一梯两户及18层一梯三户的板式住宅为主，整个小区共有15幢楼
                  ","
                    商贸娱乐配套：紧靠小区东侧是华润，东北侧规划为滨江美食城，沿着浦沿东路为规划设施一条街，北面距离高新技术园区的办公、,其生活配套逐渐成熟
                  ","
                    通过钱江一桥、复兴大桥[1] (钱江四桥)与主城相连，与主城区关系密切。多路公交车经过该地块，具体有K212、402、404、337、674、675、327、822、115、706，距离4号线地铁中医院大学站600米距离。6号线地铁西浦路站300米距离
                  ",,,,,,,,,,,
847,['万科逸天广场'],滨江-浦沿,120.143746,30.180899,575,40363,提前预约随时可看,103114669055,5,3室2厅1厨2卫,低楼层 (共18层),142.46㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2021-04-24,商品房,2016-08-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210424KR434892,"
                    万科精装，保养得当，清爽整洁，配置了品牌家具家电，拎包入住
                  ","
                    逸天广场位于钱塘江南岸，东信大道与振浦路的交叉口东南面，北与杭二中隔路相对，与六和塔隔江相望，社区总占地面积约147亩，总建筑面积约17万平方米，是一个由全装190-220㎡大户型、全装40—90㎡精致小户型、写字楼三种物业类型构成的功能复合型现代社区。


                  ","
                    
物美大卖场、世纪联华 医院：浙医二院滨江分院、省儿保医院滨江院区、武警医院、浦沿卫生院 银行：中国农业银行、中国建设银行、中国邮储银行 酒店：龙禧福朋喜来登大酒店、江景戴斯大酒店
                  ","
                    小区北门一条马路之隔就是公交总站，地铁4号线中医药大学站807米（参考高德地图）6号线西浦路站874米（参考高德地图）
                  ",,,,,,,,,,,
848,['水印城'],滨江-长河,120.199562,30.209132,800,55886,有租户需预约,103109286132,43,3室2厅1厨2卫,高楼层 (共26层),143.15㎡,平层,108.53㎡,板楼,南,钢混结构,简装,一梯两户,有,2020-05-21,商品房,2009-12-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,170413228698,"
                    此房满五唯一，龙湖物业，楼层佳，采光充足。
                  ","
                    小区为2006年建成的商品房小区，开发商为昆仑地产浙江本地房企，物业目前为龙湖物业管理好，小区一共10幢楼组成，4幢圆形的塔楼，6幢长方形的板楼，小区北面2幢是一线江景房，往南一次2幢一排，共5排，所以小区空间大，环境优美，完全人车分流
                  ","
                    小区门口就有公交站 195路、B支3路，大门口有联华*市，离星光大道1500米，浙二医院滨江分院离600米的距离
                  ",,,,,,,,,,,,
849,['龙湖春江彼岸'],滨江-奥体,120.237053,30.226477,700,78661,提前预约随时可看,103109156206,59,3室2厅1厨1卫,低楼层 (共33层),88.99㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,有,2020-05-14,商品房,2016-10-11,普通住宅,满五年,共有,"
                                有抵押 台州路桥农商银行 业主自还
                              ",已上传房本照片,170418925533,"
                    满两年，诚心出售，品质小区，户型方正，出租装修，可拎包入住。
                  ","
                    龙湖春江彼岸小区属于龙湖集团在奥体大造的春江系列，大品牌房屋质量有保障，物业是自己的龙湖物业，品牌物业口碑好，小区环境优雅，配套成熟，居住舒适。交通网络四通八达，通过钱江三桥.四桥.庆春隧道和主城区，地铁站设有奥体站，博览站
                  ","
                    自带近1.2万平方米的商品街，北侧规划的共建配套中规划有菜场，在奥体博览城的四大场馆下面规划有近30万的商品街，往西沿丹枫路走2公里可直达星耀城综合体，杭州武警医院
                  ","
                    楼盘位于交通枢纽三桥边，交通四通八达，连接萧山和滨江，两条地铁线交汇，位于奥体边，连接萧山和滨江。
                  ",,,,,,,,,,,
850,['世茂智慧之门'],滨江-滨江区政府,120.2367040087,30.221125459423,300,48948,有租户需预约,103109872032,29,3室2厅1厨3卫,高楼层 (共19层),61.29㎡,暂无数据,暂无数据,板塔结合,东 北 西,钢混结构,精装,六梯四十二户,有,2020-06-22,商品房,2018-07-18,商住两用,满两年,共有,"
                                有抵押 85万元 招商 客户偿还
                              ",已上传房本照片,200421356477,"
                    4.75米层高，套内使用面积达大，270度景观
                  ","
                    世茂智慧之门位于江南大道和风情大道交叉口，滨江、奥体的交界处 有综合体配套
                  ","
                    小区旁边各种设施齐全，星耀城综合体855米左右，武警医院709米左右
                  ","
                    地铁：1号线江陵路站1公里地图可查，6号线星民站332米 公交：138路环线：地铁江陵路站 225路：三桥南岸站 137路环线：地铁江陵路站 114路：西兴大桥换乘站 96路：西兴路月明路口站,西兴路物联网街口站 195路：江陵路南站 515路：西兴路月明路口站,西兴路
                  ",,商水,商电,,,,,,,,
851,['之江公寓'],滨江-彩虹城,120.15730303443,30.19389893497,610,40027,提前预约随时可看,103116008031,8,4室2厅1厨2卫,低楼层 (共5层),152.4㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-07-09,商品房,2000-09-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210710MO700458,"
                    此房满五不唯一 全明户型 两个大阳台.客厅餐厅敞亮
                  ","
                    滨江西环路与滨盛路交叉口，由23幢多层建筑，3幢高层建筑组成，是成熟的社区，小区环境优美，清静。小区配套完全，物业管理很全面到位；适合居住。
                  ","
                    此房 边套 大四房 客厅餐厅大 敞亮 有两个大阳台 两个卫生间 户型方正 高楼层 无遮挡 ，采光好，全明户型，格局很好。
                  ",,,,,,"
                    小区位于滨盛路与东信大道交口，小区门口有B支6、352路、113路公交，地铁4号线联庄站，出行方便。
                  ",,,,,,
852,['玲珑府'],滨江-西兴,120.232076,30.189648,135,28633,有租户需预约,103104348279,12,3室1厅1厨2卫,高楼层 (共21层),47.15㎡,暂无数据,暂无数据,板塔结合,北,钢混结构,精装,三梯十九户,有,2019-04-06,商品房,2016-12-12,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,190406851061,"
                    精装修 近地铁 配套齐全 层高好 4.79米层高
                  ","
                    步行约500米即可到达地铁一号线滨康地铁口，公交:300路(城站火车站-西兴路滨康路口-杭州火车南站，下车即是)、301路(武林小广场-滨康路东-杭州火车南站)、315路(望江东路-滨康路东-萧绍路)、368路(滨盛公交站-滨康路东-衙前公交站)，出行方便
                  ",,"
                    玲珑府，位于杭州市滨江区CBD，西兴路以西，滨康路以北。东侧隔西兴路与约70万方滨康时代综合体相望，已投入使用的地铁1号线，距离滨康站约300米，距离西兴站约400米。步行约500米即可达到地铁入口，
                  ",,商水,民电,3.1元/m3,,,,,"
                    联华*市，西兴农贸市场 银行：建设银行 杭州银行 杭州联合银行 农业银行 邮政银行 交通：1号线西兴地铁站和滨康地铁口 医疗：武警医院 滨江医院 浙江儿童医院
                  ",,
853,['绿地旭辉城'],滨江-奥体,120.23533,30.230724,790,90224,提前预约随时可看,103117239020,8,3室2厅1厨2卫,高楼层 (共44层),87.56㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯六户,有,2021-09-17,商品房,2019-01-28,普通住宅,满两年,共有,"
                                有抵押 400 客户偿还
                              ",已上传房本照片,210907HV310419,"
                    地铁口，精装修，奥体板块，视野开阔 装修花了40W  江景房
                  ","
                    小区物业为永升物业，物业费3.6（含能耗），小区管理很好，环境优雅，近距离莲花碗，奥体板块是您居住的理想场所。
                  ","
                    永涛便利店（822米）世纪华联（1142米）.乐惠多。银行：杭州联合（422米）杭州联合农村合作银行（604米）.杭州联合农村合作银行西兴支行（1067米）.杭州联合银行（1088米）娱乐：CBD公园（之江路）
                  ","
                    楼盘位于交通枢纽的三桥旁边，交通网四通八达，位于奥体旁边，连接萧山和滨江，6号线7号线交汇处，望江隧道和博奥隧道
                  ",,,,,,,,,,,
854,['中海钱塘山水'],滨江-浦沿,120.139676,30.182072,628,70953,提前预约随时可看,103116357115,1,4室1厅1厨2卫,高楼层 (共34层),88.51㎡,暂无数据,68.14㎡,板楼,南,钢混结构,简装,两梯四户,有,2021-07-30,商品房,2013-04-17,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,200320311017,"
                    
此房满五不唯一，税费少，诚心出售
                  ","
                    中海钱塘山水位于杭州市滨江区东信大道西至闻涛路，与六和塔隔江相望。总建筑面积约15万平方米，环抱式开放布局，建筑密度19.8%。规划5幢高层、1幢两层楼单身公寓和8幢联排;与之江湾合抱，开阔气派。
                  ","
                    
商场：物美大卖场、华润万家、世纪联华 医院：浙医二院滨江分院、省儿保医院滨江院区、武警医院、浦沿卫生院 银行：中国农业银行、中国建设银行、中国邮储银行 酒店：龙禧福朋喜来登大酒店、江景戴斯大酒店、志成大酒店
                  ","
                    公交：钱江湾花园公交站，107路、112路、116路、180路、402路 地铁：中医药大学站（4、6号线换乘站）、振浦路站（6号线）
                  ",,,,,,,,,,,
855,['白金海岸'],滨江-长河,120.194876,30.208656,720,59926,提前预约随时可看,103117035919,11,3室2厅1厨2卫,高楼层 (共11层),120.15㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2021-09-05,商品房,2015-09-17,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,210905RO062751,,,,,,,,,,,,,,,
856,['燕语林森公寓'],滨江-西兴,120.229017,30.193456,550,40009,提前预约随时可看,103106956702,19,3室2厅1厨2卫,中楼层 (共10层),137.47㎡,平层,110.77㎡,板楼,南 西南,钢混结构,精装,一梯两户,有,2019-11-16,商品房,2010-05-10,普通住宅,满五年,共有,"
                                有抵押 145万元 工行之江支行 业主自还
                              ",已上传房本照片,191117003479,"
                    西兴地铁口，交通方便，西兴老镇边上，配套比较齐全
                  ","
                    杭州滨江区千年古镇西兴镇的燕语林森，是同方联合旗下迪佛房产开发公司着力打造的精致品牌社区之一。属滨江板块，同时拥有比较大的资源优势，大面积的绿化，高眺江景色已经是难能可贵，加之在规划上寓自然、古典与时尚于一体的设计，使人轻灵雅致。
                  ","
                    
户型方正，采光充足，南北双阳台，小高层带电梯，自住精装可以直接拎包入住
                  ",,,,,,"
                    
固陵路上联华*市，西兴农贸市场 银行：建设、杭州、杭州联合银行、农业、邮政银行 医疗：武警医院、滨江医院、浙江儿童医院。 交通：距离地铁一号线西兴站200米。小区出门200米就是西兴地铁站
                  ",,,,,,
857,['钱江水晶城'],滨江-彩虹城,120.17274563961,30.197193987669,605,67305,提前预约随时可看,103113052650,90,3室2厅1厨1卫,高楼层 (共34层),89.89㎡,平层,67.43㎡,板塔结合,南 北,钢结构,精装,两梯四户,有,2021-01-14,商品房,2013-05-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210303LL513155,"
                    此房满五年且唯一，开放商精装，房东自住保养好
                  ","
                    2010年品质小区，钱江房地产品质开发商，精装修交付，品牌物业，绿化高，诚心出售
                  ","
                    中间套户型，3开间朝南，2个卧室朝南，带大阳台，采光很好，视野开阔，不沿马路
                  ",,,,,,"
                    此房满五年且房东名下唯一一套住宅，仅有1%契税，房子产权清晰
                  ",,,,,,
858,['盛元慧谷'],滨江-彩虹城,120.171202,30.19664,880,44461,提前预约随时可看,103116500599,2,2室2厅1厨2卫,低楼层 (共43层),197.93㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-08-07,商品房,2018-07-31,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210813HC333317,"
                    此房是房东18年二手买进，装修保养的不错，储物空间比较多
                  ","
                    盛元慧谷由杭州盛元房地产开发有限公司并开发，位于杭州钱塘江南岸滨江区之江科技工业园25号地块内，东临火炬大道，南临滨盛路，西面接壤国信嘉园，北面接壤70米深的城市绿化带，闻涛路与钱塘江，用地面积52341平米，土地使用性质为住宅用地.
                  ","
                    该小区靠江边，晚饭后一家人可以在江边休闲运动。 该小区马路对过是滨江宝龙城市广场，是一个大型综合体，餐饮、教育、图书馆、小孩子的游乐场、电影、KTV、样样俱全！ 滨江宝龙城，世纪联华，世茂中 心以及底商 医疗：省儿保
                  ","
                    公交：地铁四号线，滨盛路信诚路（172路; 295路） 滨盛路横街埠西（172路） 信诚路横街埠（b支3路; b支6路） 225路夜班内环空调,226路夜班外环空调, 294路社区通勤高峰, 315路, 352路空调, B支5路,K194路高峰大站快车，K315路等等
                  ",,,,,,,,,,,
859,['瑞立中央花城'],滨江-滨江区政府,120.222219,30.206628,980,71722,提前预约随时可看,103116918835,1,3室1厅1厨2卫,中楼层 (共30层),136.64㎡,平层,106.08㎡,板塔结合,南 北,钢混结构,精装,两梯两户,有,2021-08-30,商品房,2009-04-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,170914732010,"
                    滨和路地铁口满五年，大3房，高楼层，采光好，绿城品质物业。
                  ","
                    此房2009年交付，物业是绿城物业，高品质，居住舒适，住的放心，小区绿化优美，江南实验在小区门口。
                  ","
                    地铁滨和路站，门口就有杭州联合银行、江南豪园菜市场菜市场、华联吵市， 武警医院，交通便利，生活配套齐全！
                  ","
                    地铁：小区门口就是地铁一号线滨和站，位于三桥四桥中间位置， 公交：小区南门有195路；96路;137路;1501路等公交车，交通便利。 驾车：江南大道，风情大道
                  ",,,,,,,,,,,
860,['长兴苑小区'],滨江-长河,120.19844189676,30.183770998277,320,32106,提前预约随时可看,103108461486,88,3室2厅1厨1卫,中楼层 (共6层),99.67㎡,平层,90.85㎡,板塔结合,南 北 西,混合结构,精装,一梯两户,无,2020-04-08,商品房,2009-12-30,普通住宅,满五年,非共有,"
                                有抵押 80万元 中国银行 客户偿还
                              ",已上传房本照片,200408450253,"
                    户型方正，自住精装修，边套光线充足
                  ","
                    一房朝南一房朝西一房朝北，厅南北通透，阳光、光线都很好，客厅朝南带阳台
                  ",,,,,,,"
                    房东是想卖掉这套房子去摇一手房，所以诚心出售，房子还有80万左右的贷款关系不大
                  ",,,"
                    自住精装修全部留下，保养的很好，可以直接拎包入住，诚心出售，看房提前联系
                  ",,,
861,['江南豪园'],滨江-滨江区政府,120.21806,30.210157,810,53258,提前预约随时可看,103104226831,142,3室2厅1厨2卫,低楼层 (共18层),152.09㎡,平层,128.33㎡,板楼,东南,钢混结构,精装,两梯四户,有,2019-03-25,商品房,2017-07-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,190312409356,"
                    江南豪园边套大三房，房子满5年唯一 免双税，装修保养好

                  ","
                    此房是西边套，卫生间一明一暗， 客厅朝南带阳台，一房朝南，两房朝北，餐厅朝北带阳台，直线通透！
                  ",,"
                    小区距离地铁1号线滨和站624米（百度地图），另有175路，96路，300路等多条公交线路途经小区楼下
                  ",,,,,"
                    小区北门一街之隔是星光大道，东门门口就一公交站，钱塘春晓幼儿园，南门中赢国际广场，江南实验体育馆，小区自带农贸市场，往西700米龙湖天街，地理位置优越，生活便利。
                  ",,,,,,
862,['官河公寓'],滨江-西兴,120.23630061849,30.194537340185,470,30917,提前预约随时可看,103113259305,4,4室2厅1厨2卫,中楼层 (共6层),152.02㎡,平层,暂无数据,板塔结合,南 北,混合结构,简装,一梯两户,无,2021-01-31,商品房,2016-11-29,普通住宅,满两年,非共有,"
                                有抵押 中国银行
                              ",已上传房本照片,170529028314,"
                    此房满五年，户型方正，得房率高，居住舒适 有装修
                  ","
                    商场设施：世纪联华，中商*市，星光大道，小区门口说是西兴农贸市场4、医院设施：武警医院，社区医院，浙二滨江医院，省妇保5、银行：工商，农行，建行，杭州银行，联合银行，邮政银行等6、小区内配套：洗衣店，水果店，便利店，美容院,停车位等。
                  ",,"
                    步行500米可到1号地铁西兴站或滨康站 公交线路:315（火车南站-西湖太子湾)、195(江陵路南-西湖官巷口），137（滨江环线）、300（火车南站-火车城站）、706（火车南站-滨文高教园-闻堰）;夜班车（226、225）四通八达!
                  ",,,,,,,,,,,
863,['水晶湾城市雅苑'],滨江-西兴,120.23212474597,30.192634111157,490,51792,提前预约随时可看,103116924230,7,3室2厅1厨1卫,中楼层 (共11层),94.61㎡,平层,73.86㎡,板楼,南,钢混结构,精装,两梯五户,有,2021-08-31,商品房,2015-08-07,普通住宅,满五年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,210901SE505434,"
                    西兴地铁口，电梯房，大三房，，带阳台，采光好


                  ","
                    三开间朝南，三房朝南，采光无遮挡，楼层好，全明户型，户型正，光线很好


                  ",,,"
                    地铁一号线西兴站，地铁5号线滨康路站，双地铁口，公交有326路，195路等等


                  ",,,,"
                    房子满五唯一，契税首套1.5个点，二套2个点，税费上减少不少


                  ",,,,,,
864,['南岸晶都花园'],滨江-长河,120.201575,30.185605,420,35766,提前预约随时可看,103113521357,146,3室1厅1厨1卫,低楼层 (共18层),117.43㎡,平层,99.38㎡,板塔结合,南,钢混结构,精装,两梯三户,有,2021-02-26,商品房,2016-05-12,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,181124827956,"
                    小区中间位置不沿街，业主诚心出售价格可谈，近地铁5号线
                  ","
                    南岸晶都花园小区由华业地产开发，绿升物业，小区总共有20栋，户型涵盖一房、两房、三房、四房平层和大户型的底跃、顶跃；阿里、网易、H3C、华为、中控等大企业聚集，大都在这个小区居住，素质高，人文环境好，地铁已开通。
                  ","
                    小区经典舒适大两房，业主次卧分割成2个房间，做了3房，三开间朝南格局方正
                  ",,,,,,"
                    业主2016年买进，5月份满5年，名下有两套房子，马上没有增值税
                  ",,,,,,
865,['云厦连园'],滨江-西兴,120.23054,30.19462,451,50996,提前预约随时可看,103113587735,11,3室2厅1厨1卫,中楼层 (共12层),88.44㎡,平层,73.21㎡,板塔结合,南,钢混结构,简装,一梯三户,有,2021-03-01,商品房,2016-05-13,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,210313QG077826,"
                    夹边套户型，视野好，无遮挡，现在出租状态
                  ","
                    连园总建筑面积约10万平方米，遵循江南传统的大合院空间格局规划思想，由10幢小高层围合而成，她位于钱江三桥和四桥的连接地带，东至固陵路，西至阡陌路，北至青年路，配套设施较完善;地块西南侧相距百余米为规划地铁1号线西兴站
                  ","
                    联华*市，西兴农贸市场 银行：建设银行 杭州银行 杭州联合银行 农业银行
                  ","
                    地铁一号线：西兴站 直线距离300米不到 交通方便    地铁一号线：西兴站 直线距离300米不到 交通方便  
                  ",,,,,,,,,,,
866,['河畔花园'],滨江-西兴,120.23110925983,30.197674349253,450,33787,提前预约随时可看,103111388146,62,3室2厅1厨2卫,中楼层 (共6层),133.19㎡,平层,122.65㎡,板塔结合,南,钢混结构,精装,一梯两户,无,2020-09-20,商品房,2019-05-07,普通住宅,满两年,共有,"
                                有抵押 155万元 广发银行股份有限公司杭州分行 业主自还
                              ",已上传房本照片,181019678472,"
                    房子中间楼层，南北通tou，采光无遮挡，北面靠河，清净宜人
                  ","
                    小区适合考虑大面积，小区幽静清净，配套齐全，几min都能到达

小区内有公园，交通很便利，地铁口800米左右
                  ",,,,,,,,"
                    房东重新进行装修，进行白色乳胶漆的涂刷，及客厅的修正，要求不高，可直接拎包入住
                  ","
                    小区到地铁一号线西兴站，经百度地图测量985米距离，有公交车139路，。362路，1502路，177路。315路
                  ",,,,
867,['水印城'],滨江-长河,120.199562,30.209132,860,57430,提前预约随时可看,103117335584,3,4室2厅1厨2卫,中楼层 (共26层),149.75㎡,平层,113.58㎡,板楼,东 南 北,钢混结构,精装,一梯两户,有,2021-09-24,商品房,2015-09-21,普通住宅,满五年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,210925DK087555,"
                    总高26楼2梯2户板楼 东边套 中间楼层采光视野很好
                  ","
                    水印城由十栋现代高层住宅组成，其中6栋板式，4栋点式，低的为24层，高的为34层。水印城绿化高，小区内人车分流，在整体园区平面下设置了二层地下停车库
                  ","
                    
商场： 龙湖天街、宝龙广场、星光大道卖场、第六空间大都会；医院：浙医二院滨江医院、武警医院、长河妇保医院； 小区底商满足基本生活需求，餐饮、水果、药店等，生活所需一应俱全
                  ","
                    小区门口就是滨盛路长河路口公交站，13路172路195路355路368路b支3路途经此站点；距离江南大道600米左右，四通八达，开车出行方便，距离复兴大桥900米左右，去往主城区 方便，地铁5、6号线500米
                  ",,,,,,,,,,,
868,['白马湖小区凤凰苑'],滨江-白马湖,120.2118760048,30.172030777367,610,38983,提前预约随时可看,103112539050,35,5室2厅1厨3卫,高楼层 (共18层),156.48㎡,跃层,131.39㎡,板塔结合,南,钢混结构,精装,一梯两户,无,2020-12-07,商品房,2016-05-20,普通住宅,满五年,共有,"
                                有抵押 300万元 杭州联合银行 业主自还
                              ",已上传房本照片,210113ZF571545,"
                    此房跃层带露台，边户采光棒， 景观视野好
                  ","
                    本房为跃层楼自住精装修，空中别墅，采光良好，景观优雅安逸 交通便捷  
                  ",,"
                    小区门口137路公交站，可至地铁5号线江晖路站，穿过西兴，到达滨江区政府板块，武警医院，1号线江陵路站；北向1公里至彩虹快速路，西可达之江转塘，东可至萧山市区，连接时代大道南可通萧山绕场，北可过江至杭州市区
                  ",,,,,"
                    小区北面200米为白马湖幼儿园，门口生活配套齐全，热闹非凡，南向500米左右为白马湖建国饭店，中国动漫博物馆，以及风景秀丽的白马湖公园，小区；4公里可达滨江天街，浙医二院
                  ",,,,,,
869,['钱塘玫瑰湾'],滨江-浦沿,120.14829,30.174939,432,56390,提前预约随时可看,103115041729,78,3室2厅1厨1卫,中楼层 (共18层),76.61㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2021-05-15,商品房,2018-01-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210515AX889592,"
                    
次新小区，物业好，刚需户型，交通便利，业主诚心出售
                  ","
                    
小区配套：世纪联华*市，物美大型*市购物方便。傍晚闻涛路健身跑步也不错，亚运会专用塑胶跑道，有菜场，银行，餐厅
                  ","
                    商场：物美大卖场、华润万家、世纪联华 医院：浙医二院滨江分院、省儿保医院滨江院区、武警医院、浦沿卫生院 银行：中国农业银行、中国建设银行、中国邮储银行 酒店：龙禧福朋喜来登大酒店、志成大酒店
                  ","
                    交通状况：通过钱江一桥、复兴大桥[1] (钱江四桥)与主城相连，与主城区关系密切。多路公交车经过该地块，具体有K212、402、404、337、674、675、327、822、115、706，六号线地铁西浦路站。
                  ",,,,,,,,,,,
870,['长兴苑小区'],滨江-长河,120.19844189676,30.183770998277,375,29822,提前预约随时可看,103114679372,8,3室2厅1厨2卫,中楼层 (共6层),125.75㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2021-04-25,商品房,2018-08-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,190929972230,"
                    楼层好，视野无遮挡，诚心出售 阿里网易旁五号线地铁口。


                  ","
                    适合一家人居住，网易阿里上班族，尤其是有老人和小孩*为合适， 适合改善型人群，有父母和小孩的家庭也可住得下


                  ",,,,,,,,"
                    小区位置：位于晶都路与南环路 阿里网易等科技园旁上班步行即可 地铁：（地铁5号线）：直线距离300米左右 公交站：96路，1502路，116路等,华联*市小区西门三百米左右，农贸市场两百米左右


                  ",,,,,
871,['滨文苑'],滨江-浦沿,120.172901,30.177605,385,29035,提前预约随时可看,103112003028,25,3室2厅1厨2卫,低楼层 (共18层),132.6㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,2020-10-31,商品房,2018-06-15,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,180706466580,"
                    飞机户型，单价低，总价低，配套成熟，采光充足
                  ","
                    此房为南北向，建筑面积为132平米，两房朝南厅朝南，朝南带大阳台，全明格局，飞机户型，得房率高，每个房间都很大
                  ",,"
                    
滨文中 心总站 107路; 115路; 119路; 194路; 225路; 269路; 326路; 354路; 362路; 901路; b支3路，开车右转300米上彩虹快速
                  ",,,,,"
                    小区边上配套齐全，交通配套齐全，公交就在门口；综合体、大学城 、交通便利
                  ",,,,,,
872,['缤纷北苑'],滨江-滨江区政府,120.22885323999,30.224672156181,515,50137,提前预约随时可看,103113292002,46,4室2厅1厨2卫,低楼层 (共6层),102.72㎡,平层,暂无数据,板楼,东南 南,混合结构,精装,一梯两户,有,2021-02-03,商品房,2018-08-07,普通住宅,满两年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,180319335729,"
                    滨江奥体热门地段，钱塘江边，早晨可江边彩色跑道锻炼身体，..
                  ","
                    四房两卫，户型好，采光好，得房率高，房东自住精装，难得的好房
                  ",,"
                    地铁：地铁1号线江陵路，6号线星民路，2、通过钱江三桥、四桥、庆春隧道和主城区无缝连接、博览站、立体式交通出行便利，3、公交线路有B支6、K107、K114、K115、96等公交，夜班车：225/226三桥南岸站等。
                  ",,,,,"
                    小区配套齐全，星民菜场，星光大道，星耀城，奥体博览城，武警医院，银行，还有各类品种繁多的早餐店
                  ",,,,,,
