,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,周边配套,小区介绍,户型介绍,适宜人群,装修描述,用水类型,用电类型,售房详情,交通出行,税费解析,燃气价格,权属抵押,别墅类型
966,['阳光郡'],拱墅-三墩,120.106762,30.339428,400,49304,提前预约随时可看,103108968944,131,3室2厅1厨1卫,高楼层 (共24层),81.13㎡,平层,暂无数据,板楼,南,混合结构,简装,两梯四户,有,2020-05-05,商品房,2017-10-09,普通住宅,满两年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,190512623050,"
                    此房满2年 楼层高 视野开阔 采光充足 总价低
                  ","
                    阳光郡，占地150亩，总建筑体量近36万方，体量恢弘巨大，规模居住效应明显。阳光郡，雄踞莫干山路杭州大动脉，扼守杭州主城区发展格局，东临城市主干道莫干山路直达西湖风景区，北接全线修通的长青路连通申花高档成熟生活区
                  ","
                    快速公交2号线、67路、372路、313路、348路、76路、K97路、B支1路、K204(夜间线)路、K403路、333路、K204(夜间线)路
                  ","
                    小区的区块是拱墅区最北的申花板块，走路300米就到世纪联华（丰庆路店）*市、KTV、商场、影视一站式服务！往北面500米就是城北只此一城的西田城购物商场和麦德龙*市
                  ",,,,,,,,,,,
967,['凯德湖墅'],拱墅-和睦,120.144517,30.310997,1160,83292,下班后可看,103117248261,8,3室1厅1厨2卫,中楼层 (共18层),139.27㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,2021-09-18,商品房,2017-03-29,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,200511973348,"
                    实用面积多，运河景观尽收眼底，享受闹市的宁静
                  ","
                    小区是新加坡开发商（凯德）建造的，小区物业是银亿物业，管理严格，物业费2.95元㎡，小区位于京杭大运河边，小区内外都环境优美，总共有9幢楼，都错开的，当时小区这样建设就是为了让80%的户型看到运河，是真正意义上的运河景观小区。
                  ",,"
                    该区块内次新房，小区环境优美，户型三房间朝阳面，每天满满正能量，弧形阳台，大的观景阳台不是梦，价格可谈，诚心出售。
                  ","
                    小区在京杭大运河边上，同时位于小河历史文化街区，东南方向步行短距离就是远洋.绿地大商务区，高档写字楼林立，逛街购物可去乐提港，朝西步行短距离就是中粮大悦城，地铁10号线隐秀路站，买菜的话步行短距离可到小河菜市场。
                  ",,,,,,,,,,
968,['蚕花园永安坊'],拱墅-拱宸桥,120.15424707734,30.332436254433,238,33602,提前预约随时可看,103114354679,10,3室1厅1厨1卫,中楼层 (共5层),70.83㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-04-08,已购公房,2019-06-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210406UM850810,"
                    满五简装，方正户型，采光无遮挡，两开间朝南
                  ","
                    蚕花园共有五个坊，建成年代大多在2000年左右，出行方便，出门就是公交车总站，幼儿园和小孩读书就在小区里，接小孩子上学安全又便利，适合各年龄段人居住
                  ","
                    北接留石高架，东接上塘高架，可直接在石祥路上高架，151公交总站就在这，有276.198.K151.70.198.33.23.B7.591路；南面是湖州街，距地铁五号线拱宸桥东地铁口1.3km，公交有347.95.69.251.220.34.261.833.403.47路，西边有运河，通益路，北边有石祥路。
                  ","
                    位于世界非物质文化遗产京杭大运河景区内，是杭州主城区中间地段，近拱墅区政府、运河文化广场。配套有大型综合体商场运河上街、天阳D32、市二医院（公立三甲医院）、地铁5号线、农贸市场、联华*市、农业银行、工商银行、刀剪剑扇博物馆等
                  ",,,,,,,,,,,
969,['朝晖四区'],拱墅-朝晖,120.1777,30.2914,270,40984,提前预约随时可看,103112860416,26,3室1厅1厨1卫,中楼层 (共5层),65.88㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2020-12-31,已购公房,1998-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,190706582818,"
                     户型正气 全明 两房朝南 小区生活便利 交通方便
                  ","
                    所在位置繁华，地处朝晖，省人民医院200米，工商银行400米左右，还有朝晖公园600米左右，世纪联华市场600米左右，生活便利，小区东边有条上塘河，下班饭后散步的好去处。
                  ","
                    首套首贷首付3成起，二套首付6成起，满五不唯一，首套二套购房者需缴纳1%的个税和1%的契税
                  ",,,,,,,,,"
                    距此房150米的公交站有浙江工业大学（公交站），距此房500米内有朝晖四区（公交站）、朝晖六区（公交站）等等，线路有814路、3路、6路、78路、90路等；小区到打铁关（地铁站）1100米，小区到西湖文化广场（地铁站）1200米
                  ",,,
970,['莫干山路94号'],拱墅-湖墅,120.15782,30.284813,230,43969,提前预约随时可看,103117201117,2,3室1厅1厨1卫,低楼层 (共6层),52.31㎡,平层,46.56㎡,板楼,南 北,砖木结构,精装,一梯两户,无,2021-09-15,商品房,2019-06-19,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,190715617612,"
                    此房追溯满五，刚需三房，生活配套完善，地段好交通便利。
                  ","
                    小区配套设施齐全，生活方便，交通方便，出门100米就是沈塘桥公交站
                  ",,"
                    此房适合刚需居住，刚需三房，交通便利，生活配套娱乐设施齐全。
低楼层，适合老人居住阳台开门出去就是院子。
                  ",,"
                    楼下有单车投放点，临靠沈塘桥公交站，沈塘桥地铁站，交通便利，出行方便。
                  ",,,,,,,,,
971,['朝晖八区'],拱墅-朝晖,120.166357,30.296693,310,42747,提前预约随时可看,103115757081,2,2室1厅1厨1卫,低楼层 (共7层),72.52㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,无,2021-06-25,已购公房,2006-07-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,200922BZ016139,"
                    一楼有院子 业主诚心出售 满五不唯一
                  ","
                    
此小区多为政府部门的房改房，部分是商品房，都是6层或7层的板楼，小区房龄跨度较大，从1985-1996年不等，小区内有大约300个停车位，100元/月，先到先停。
                  ","
                    
旁边就是在建的地铁3号线潮王路地铁口，离西湖文化广场地铁口500米 门口：45路到达钱潮路公交站，南面潮王路上就是朝晖九区公交站，有67路，86路，19路等，出行便利。
                  ","
                    一梯两户，两房朝南客厅朝北，两个卧室朝南，卫生间干湿分离，厨房朝北
                  ","
                    小区位于河东路与潮王路十字路口东北面，小区配套成熟，银行有杭州银行、工商银行、邮政银行，酒店有布丁酒店、思杭酒店、魔方公寓，有朝晖九区农贸市场、集市街农贸市场，商场有世纪联华.西湖银泰，生活便利
                  ",,,,,,,,,,
972,['景瑞申花郡'],拱墅-申花,120.107338,30.327773,480,53656,提前预约随时可看,103116785903,0,3室2厅1厨1卫,高楼层 (共14层),89.46㎡,平层,暂无数据,板楼,东南,钢混结构,简装,两梯四户,有,2021-08-23,商品房,2018-02-07,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,210828FN911236,"
                    次新小区，楼层好采光充足，三开间朝南，配套成熟交通便利
                  ","
                    16年年底交付的小区，毛坯交付，可自由发挥设计装修。 小区环境可以，人车分流。物业负责。配套齐全，上下学方便
                  ",,"
                    16年年底交付的次新小区，三开间朝南，1厨房1卫生间，2阳台，采光好，动线分明流畅
                  ","
                    小区北面是蓝翔综合体（华润cao市），北面有三墩地铁站，龙湖紫荆天街，往南是亚运体育公园。
                  ",,,,,,,,,,
973,['天阳美林湾'],拱墅-申花,120.10495848615,30.327970851608,510,46491,有租户需预约,103116467969,1,3室2厅1厨1卫,中楼层 (共18层),109.7㎡,平层,88.58㎡,板塔结合,东南,钢混结构,简装,两梯三户,有,2021-08-06,商品房,2009-06-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210806DA510083,"
                    满五年唯一， 税费少 中高楼层 视野开阔 全明户型
                  ","
                    
美林湾城市公寓，建筑年代是2008，物业公司为浙江龙湖物业服务有限公司，小区环境好，小区共17栋楼
                  ",,"
                    满5年，没有增值税
唯一，没有个税。税费少，只契税，契税首套1.5个点，二套2个点。   
                  ",,,,,,,,"
                    离地铁口三墩站A出口700米，100米有公交站台，有古墩路，留石高架，莫干山路等主干道，
旁边有龙湖天街（700米），200米有蓝祥购物后期有华润C市

                  ",,,
974,['左岸花园'],拱墅-拱宸桥,120.14758,30.334595,429,34203,提前预约随时可看,103111937917,34,3室2厅1厨2卫,低楼层 (共11层),125.43㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2020-10-27,商品房,2006-03-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,201028QK810412,"
                    左岸花园低总价三房 采光好户型正
                  ","
                    左岸花园位于市区运河左岸，东邻上塘路和拱北小区，西接丽水路城市绿化带，南临永庆路，京杭大运河、陈家桥运河两边，风景十分迷人。名城左岸花园总占地9万余平方米，建筑面积9万余平方米，总户数1500余户。
                  ","
                    小区东面是上塘高架，151公交总站就在这，有276.198.K151.70.198.33.23.B7.591路；南面是湖州街，公交有347.95.69.251.220.34.261.833.403.47路，西边有运河，通益路，北边有石祥路。上高架路口有3个（登云路上塘路交叉口）（上塘路大关路）
                  ","
                    此小区自带游泳池，两家幼儿园，西面是丽水路，过丽水路是京杭大运河。配套齐全，运河上街，运河广场，比高电影院，万达广场，衣食住行方便。距离杭州市第二医院只有800米左右。
                  ",,,,,,,,,,,
975,['树园'],拱墅-建国北路,120.188275,30.274164,312,44738,提前预约随时可看,103114675687,11,3室1厅1厨1卫,中楼层 (共5层),69.74㎡,平层,64.24㎡,板楼,南 北,混合结构,精装,一梯两户,无,2021-04-24,商品房,2011-11-29,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210424AV494747,"
                    南北通透三居室 楼层好 户型方正 一梯两户
                  ","
                    小区各种配套设施成熟，距离建设银行50米、农业银行400米、中信银行600米、工商银行720米等；距离东园公园260米；距离凤起农贸市场250米；距离红会医院650米、江城骨科医院100米等（以上数据来源于百度地图）
                  ","
                    建国北路宝善桥公交站：5、29、68、76、84。111、208、288路。800米建国北路地铁口（以上数据来源于百度地图）
                  ","
                    地处下城区体育场路跟建国北路交叉，小区的设施完善， 距离工商银行152米，杭州联合银行444米，中国建设银行（潮鸣支行）36米，距离杭州红十字会医院686米，杭州人保大厦536米，有多路公交站点，出行路线多样，配套完善。（以上数据来源于百度地图
                  ",,,,,,,,,,,
976,['杭钢尚堂府'],拱墅-半山,120.156977,30.33952,515,47287,提前预约随时可看,103114026511,8,3室2厅1厨2卫,高楼层 (共18层),108.91㎡,平层,暂无数据,板楼,南,框架结构,简装,两梯四户,有,2021-03-22,商品房,2017-11-27,普通住宅,满两年,非共有,"
                                有抵押 100万元 农业银行 业主自还
                              ",已上传房本照片,201110AH283697,"
                    位置好不沿马路 户型好全明三房 双卫双阳台
                  ","
                    万科物业，杭钢品牌开发商做保障 ，为您的高品质生活和舒适的居住环境保驾护航 小区位于拱墅拱康路与石祥路交叉口，出行十分便利。 内部配套：水景广场，羽毛球场，纯人车分流，楼下在建农贸市场，拱墅区智慧网谷小镇，360，顺丰等企业。
                  ",,"
                    2017交付的次新房 智慧网谷边上 此房户型方正，三房，双阳台，双卫。小区品质高，绿化面积多，万科品牌物业，入住率高，人车分流！
                  ","
                    小区配套齐全：中大银泰城、新天地购物，太阳城购物广场 、运河上街、D32综合体， 医疗：杭州市第二附属医院都在附件1.5公里内
                  ",,,,,,,,,,
977,['董家弄'],拱墅-信义坊,120.144308,30.306184,280,36209,提前预约随时可看,103116855035,2,3室1厅1厨1卫,低楼层 (共6层),77.33㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-08-27,已购公房,2019-10-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,191016365048,"
                    房子满五唯一，南北双阳台，采光好，业主诚心出售
                  ","
                    世纪联华312米和物美（莫干山店）912米，杨家门菜市场312米，小区北门 ② 医院：红会医院 浙江消防总队医院，③娱乐休闲方面：绿地中 央广场、水晶城、中粮大悦城
                  ","
                    有三个公交站，一个码头。 ①杨家门公交站（23路） ②哑巴弄公交站（36路; 76路; 151路; 188路; 251路; 516路） ③大关桥西公交站（1路; 57路; 77路; 79路; 93路; 134路; 188路; 227路; 272..
                  ",,,,,,,,,,,,
978,['拱宸新苑'],拱墅-拱宸桥,120.150258,30.329374,440,39392,提前预约随时可看,103112568149,3,3室1厅1厨1卫,中楼层 (共6层),111.7㎡,平层,暂无数据,板塔结合,南,混合结构,简装,一梯两户,无,2020-12-09,商品房,2007-04-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,191210747589,"
                    生活便利，交通方便，楼层适中适合居住，温馨居室
                  ","
                    拱辰新苑一共有12幢房子，1-10幢是06年建成的商品房子，11-12幢是回迁房！
                  ","
                    公交线路：23K23、33K33、K47、K63、70K70(区间)、K198、K276、347K347、K403、K591、833、61K61、342、K209(夜间线)、K220（区间）(夜间线)、K220(夜间线)、K251(区间)(夜间线)、K251(夜间线)、70K70、K69(区间)、K69、51K151
                  ","
                    拱宸新苑地处拱墅区中间位置，是拱墅区区委区政府所在地，南靠温州路，东靠上塘路，西靠金华路，北靠湖州街，地理位置比较优越，小区环境幽雅，配套设施成熟，有区政府、运河文化广场、世纪联华、欧尚、运河百瑞大酒店、台州路步行街、尚品国际街区
                  ",,,,,,,,,,,
979,['八丈井新村'],拱墅-大关,120.158522,30.304192,470,57975,提前预约随时可看,103112660546,14,3室1厅1厨1卫,高楼层 (共7层),81.07㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,有,2020-12-16,商品房,2007-07-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,201216TP879497,"
                    原拆原建全新房，高楼层，采光充足，业主诚心出售。
                  ","
                    此房满五年唯一，房子是没有个税的，契税首套按1%缴纳，二套按1%缴纳。
                  ","
                    德胜路东粮泊巷口公交站：41路;43路;75路;82路;90路;209路;215路，德胜新村公交站：3路;12路;12路区间;26路;33路;46路;57路;78路;80路;82路;198路。
                  ",,,,,,,,,"
                    小区邻近运河，双公园环境好，经过德胜巷过桥就是德胜农贸市场，胜利河美食街，钱江小商品市场。生活方便，*市，银行（兴业银行，杭州银行，浦发ATM）
                  ",,,
980,['现代雅苑'],拱墅-和平,120.178441,30.29858,530,48975,提前预约随时可看,103117252714,4,3室1厅1厨1卫,高楼层 (共14层),108.22㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,一梯四户,有,2021-09-18,商品房,2001-01-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210918HM506557,,,,,,,,,,,,,,,
981,['霞湾巷小区'],拱墅-大关,120.155075,30.301717,360,38953,提前预约随时可看,103115352102,2,3室1厅1厨1卫,低楼层 (共18层),92.42㎡,平层,暂无数据,板塔结合,南 西,钢混结构,简装,三梯八户,有,2021-06-02,商品房,2002-08-16,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210531MB803751,"
                    电梯房，业主诚心出售，南边可看到运河，景观房。
                  ","
                    有富义仓遗址公园，大兜路历史街区，香积寺等景区.楼幢后面100米左右就是卖小霞湾校区。距卖小本部100米。距胜利河美食街500米、信义坊步行街450米，远洋乐堤港购物和水晶城1公里。在一公里范围内有拱墅第二医院和消防总队医院以及各个社区卫生院
                  ","
                    房子是一手买进。没有交易过，早就满5年了，没有增值税，（2018年换过证，可以追溯到之前的证算）
                  ","
                    本房位于运河东岸，公园和历史文物很多，环境优美，闹中取静，距离卖小100米左右，适合老人和小孩居住。
                  ",,"
                    小区邻近运河，双公园环境好，经过德胜巷过桥就是德胜农贸市场，胜利河美食街，钱江小商品市场。生活方便，银行（兴业银行，杭州银行，浦发ATM）
                  ",,民水,民电,,,"
                    中等装修，业主是一手买进，没有交易过，现在是出租中，家具家电齐全，可拎包入住
                  ",3.1元/m3,,
982,['信义坊'],拱墅-信义坊,120.149795,30.301047,245,35549,提前预约随时可看,103106129114,277,3室1厅1厨1卫,高楼层 (共7层),68.92㎡,平层,63.65㎡,板楼,南,砖混结构,简装,一梯四户,无,2019-09-17,已购公房,2015-12-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,181110041824,"
                    此房户型正气，房东诚心出售，采光好，无遮挡
                  ","
                    ① *市和农贸市场：世纪联华*市312米和物美（莫干山店）912米，杨家门菜市场312米，小区北门 ② 医院：红会医院 浙江消防总队医院，③娱乐休闲方面：绿地中 央广场、水晶城、中粮大悦
                  ","
                    信义坊小区东边是湖墅北路西边是莫干山路 南边是信义坊商街 出门公交站有哑巴弄公交站，可以乘坐151,188路公交车直达汽车北站
                  ","
                    家里有二胎的，人口多的，需要三个房间的客户群体，或者拿来出租的客户群体，不管是自主还是出租都不错的。
                  ",,"
                    信义坊小区地处繁华 位于拱墅区较好位置，有胜利河美食街，京杭大运河，信义坊商街等。
                  ",,,,,,,,,
983,['柳营花园西区'],拱墅-长庆,120.179755,30.266692,530,54668,提前预约随时可看,103116785214,2,2室1厅1厨2卫,低楼层 (共7层),96.95㎡,平层,暂无数据,板楼,南,框架结构,简装,一梯两户,无,2021-08-23,商品房,2002-07-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210823CN068617,"
                    全明户型  两房一厅两卫 看房随时方便
                  ","
                    柳营花园位于下城区长庆板块，分为东区和西区，是耀江开发商建的，2000年建成，东区有6幢房子，其中两幢是电梯房，4幢楼梯房，西区有4幢房子为楼梯房。小区对着有新华农贸市场，餐馆等，生活气息较浓厚。
                  ",,"
                    此房满五不唯一无增值税和，需要个税百分之1 ，契税1.5或2   另外加上中介费，无其他税费。
                  ",,,,,,,,"
                    距离地铁站中河北路站约400米，1号线凤起路站1000米左右，5号线建国北路站1000米左右公交车站500米内有联桥站，浙一医院站，大东门站，凤起路新华路站等
                  ",,,
984,['水星阁'],拱墅-体育场路,120.179974,30.277919,510,41203,有租户需预约,103113794685,3,3室2厅1厨1卫,高楼层 (共25层),123.78㎡,平层,暂无数据,塔楼,东 南,砖混结构,简装,两梯七户,有,2021-03-11,商品房,1996-02-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210311EC641241,"
                    
东河边环境优美，两房南双阳台东边套，高楼层采光好
                  ","
                    水星阁地处中河路与环城北路交叉口 小区邻近中河 闹中取静 环境优美 小区有独立的单元门 管理有条不紊
                  ","
                    小区距离市体育馆公交站310米（数据来源于 百度地图），有多路公交通过，可直达市一医院、西湖景点、武林广场南、植物园等地，出行方便
一公里内地铁站有1号线武林广场地铁口，2号线中河中路地铁口，出行方便。
                  ","
                    地处武林商圈，距离武林广场，西湖文广场布行1000米左右（数据来源于百度地图），满足您的休闲购物娱乐需求，一公里内就医有下城区人民医院，日常买菜有屏风苑农贸市场。
                  ",,,,,,,,,,,
985,['八丈井新村'],拱墅-大关,120.158522,30.304192,550,55394,提前预约随时可看,103117122741,1,3室2厅1厨1卫,低楼层 (共7层),99.29㎡,平层,暂无数据,板楼,南 北 东,混合结构,毛坯,一梯两户,有,2021-09-10,商品房,2007-03-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210910WY712746,"
                    原拆原建全新房，环境好，配套齐全，有电梯，满五年，诚心卖
                  ","
                    房子是原拆原建回迁房，房子新，部分单元是有电梯的，小区毛坯交付，一梯两户，得房率高
                  ","
                    满五年 只需要交一个点的个税和一个点的契税，税费成本相对较低 节约您的购房成本。
                  ","
                    
小区邻近京杭大运河，富义仓公园，霞湾公园 双公园环境好，经过德胜巷过桥就是德胜农贸市场，胜利河美食街，钱江小商品市场。生活方便，银行（兴业银行，杭州银行，浦发ATM）
                  ",,,,,,,,"
                    
房子是新建的，2021年交付，有电梯 ，从未入住，纯毛坯住宅。
                  ",,,
986,['漾河公寓'],拱墅-三塘,120.172249,30.324901,385,26794,提前预约随时可看,103114032477,23,4室2厅1厨3卫,高楼层 (共6层),143.69㎡,跃层,暂无数据,板楼,南,钢结构,简装,一梯两户,无,2021-03-22,已购公房,2019-10-15,普通住宅,满两年,非共有,"
                                有抵押 300万元
                              ",已上传房本照片,170422134959,"
                    位置好，楼层好，环境好，配套齐全
                  ","
                    该小区是2006年左右的房子，小区一共有26幢房子，小区西边就是上塘河，环境清幽，合适居住，南边800米有城北体育公园供您休闲运动
                  ","
                    小区出南门300米就是西联桥公交站，经过本站的公交车有48路、77路 、272路 、371路。距离5号线西文街站直线距离仅700米，5号线可换乘多条地铁线路
                  ","
                    小区地理位置好，西面临上塘河，东南面临西文公园。小区大门往南800米就是城北体育公园。小区往东南方向600米就是西联广场物美大卖场。往东北方向1000米就是中大银泰城与杭州新天地，生活便捷
                  ",,,,,,,,,,,
987,['东清巷'],拱墅-长庆,120.185244,30.266531,368,44661,提前预约随时可看,103108982359,63,3室1厅1厨1卫,中楼层 (共7层),82.4㎡,平层,暂无数据,板楼,东 南,混合结构,简装,一梯五户,无,2020-05-05,商品房,2005-09-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200505130914,"
                    满五年，青蓝房源，中间楼层 全明东边套 典藏三房
                  ","
                    
东清巷小区位于下城区东清巷与庆春路交叉口，属于王马社区，王马社区是下城区的模范社区，小区干净清爽，南面100米便是浙一医院，距离地铁2号5号线建国北路站500米左右，世纪联华庆春店距离房子仅200米左右，新华农贸菜市场250米左右，有三个公交车站。
                  ","
                    
这套房子是满五年不唯一的，契税是1%，个税1%，另外加上中介费，除此无其他费用，房子无抵押无按揭。
                  ","
                    中间楼层 全明东边套 视野好 采光好 户型正气 楼下有近10个平方的地下室
                  ","
                    
这套房子配套齐全，边上有浙一医院，浙二医院，妇保，儿保，市一，口腔医院，地铁有三条2号线5号线1号线，公交车站有3个，浙一医院公交车站，凤起路新华路公交站，联桥公交站，*市是世纪联华庆春店，距离西湖2公里左右，上青蓝，庆春，新华路幼儿园。
                  ",,,,,,,,,,
988,['八丈井新村'],拱墅-大关,120.158522,30.304192,410,55647,提前预约随时可看,103117169493,0,3室1厅1厨1卫,低楼层 (共7层),73.68㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,无,2021-09-13,商品房,2001-02-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210913HM001111,"
                    此房满五唯一，配套设备齐全，视野开阔，交通便利
                  ","
                    
房子是原拆原建回迁房，房子新，部分单元是有电梯的，小区毛坯交付，一梯两户，得房率高
                  ","
                    
房子是新建的，2021年交付，有电梯 ，从未入住，纯毛坯住宅。
                  ","
                    
小区邻近京杭大运河，富义仓公园，霞湾公园 双公园环境好，经过德胜巷过桥就是德胜农贸市场，胜利河美食街，钱江小商品市场。生活方便，银行（兴业银行，杭州银行，浦发ATM）
                  ",,,,,,,,,,,
989,['凤起桥河下'],拱墅-武林,120.16848646207,30.270128123682,395,53669,提前预约随时可看,103114925178,4,3室2厅1厨1卫,中楼层 (共7层),73.6㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-05-09,已购公房,2005-04-18,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,200524823055,"
                    此房满五年没有增值税，南北通，楼层可以，位置好，
                  ","
                    小区位于武林商圈，属于闹中取静，生活出行方便，距离武林夜市200米左右，小区里的人文素质都很高，邻里相处比较融洽，环境优美，安保设施完善。
                  ","
                    
地铁，公交站方便，出小区150米左右，有地铁站，小区旁边还有公交站点。
                  ","
                    150米到凤起路一二号地铁口，龙游路，奥斯卡电影院，杭州市中医院，近西湖，早晨可以去西湖跑步观景，万寿亭菜场，银泰百货，国大城市广场，购物休闲都比较方便。
                  ",,,,,,,,,,,
990,['大塘新村'],拱墅-湖墅,120.162729,30.286126,330,42813,提前预约随时可看,103110928495,20,3室1厅1厨1卫,高楼层 (共6层),77.08㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,2020-08-24,商品房,2017-02-20,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,200816QI990161,"
                    高楼层 采光好，精装修拎包入住诚心出售
                  ","
                    配套设施有【农贸市场有；1、叶青农贸市场2、红石板农贸市场】【医院；1、医院有新华医院，省中山医院 ，中医院】 【*市：联华，华润万家】公交车100米、出行方便、距离市杭州大厦800米、 建设银行、招商银行、工商都有】来源百度地图。


                  ","
                    【公交车站路线、151,76，101、12、19、264、30、67、807、86路线】 【公交站，分别是 大塘新村公交站 米市巷公交站 沈塘桥公交站 红石板新村公交站 杭州大厦（环城北路）公交站】



                  ",,,,,,,,,,,,
991,['大塘新村'],拱墅-湖墅,120.162729,30.286126,220,39569,提前预约随时可看,103111258858,21,2室1厅1厨1卫,低楼层 (共6层),55.6㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,无,2020-09-12,商品房,2000-08-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,200912UA982397,"
                    此房满五年唯一  业主自住 处理多余房产 户型好
                  ","
                    配套设施有【农贸市场有；1、叶青农贸市场2、红石板农贸市场】【医院；1、医院有新华医院，省中山医院 ，中医院】 【*市：联华，华润万家】公交车100米、出行方便、距离市杭州大厦800米、 建设银行、招商银行、工商都有】来源百度地图
                  ","
                    
小区配套成熟，出门距离湖墅路沈塘桥站100米：2路;12路区间;76路;76路快线;151路;153路;188路;204路;251路;251路区间;348路;348路高峰大站车;516路;801路。距离地铁2号线沈塘桥站500米左右。
                  ",,,,,,,,,,,,
992,['大关南七苑'],拱墅-大关,120.168755,30.306559,252,36427,提前预约随时可看,103108537082,73,3室2厅1厨2卫,高楼层 (共6层),69.18㎡,跃层,60.17㎡,板楼,南,砖混结构,精装,一梯两户,无,2020-04-12,已购公房,2005-01-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,200412042712,"
                    大关南七苑，楼幢位置好，一梯两户，南北户型，跃层户型
                  ","
                    售房原因，房东想置换，对付款没要求.里面没有户口，随时可以迁入！
                  ","
                    公交车：26路;33路;57路;80路;93路;94路;98路;134路;183路;191路;198路;198路高峰线;209路;220路;220路区间;227路;276路;321路;338路;359路;371路;403路;1101路。 自驾出行：大关路，上塘高架等

                  ",,,,,,,"
                    公园：大关公园，城北体育公园，上塘河：500米，可以去跑步。医院：拱墅第二人民医院直线距离500米；购物：水晶城，钱江小商品市场。买菜：西三农贸市场

                  ",,,,,
993,['三塘兰园'],拱墅-三塘,120.172494,30.314933,440,41969,提前预约随时可看,103116323777,11,3室2厅1厨1卫,中楼层 (共7层),104.84㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-07-28,商品房,2018-03-30,普通住宅,满两年,共有,"
                                有抵押 200万元 义乌农业银行 客户偿还
                              ",已上传房本照片,190713353253,"
                    中间楼层，小区公园旁边，全明纯边套，户型很正气
                  ","
                    2此房源房龄为2002年，可以做公积金三成；西边套，两房朝南，明厨明卫，全明户型；此房为高楼层，采光视野好；楼下有2平米的储藏室；
                  ","
                    小区地处三塘，交通十分便利，小区门口有公交车站，比如85路、72路、88路、185路等通向杭州各个地方几乎都有，如果自驾开车的话，小区东面是东新路，南面是德胜高架，北面是石祥高架。地铁有五号线香积寺路站，西文街站，换成线路众多
                  ",,"
                    此房所在位置距离城北体育公园50米，距离康静医院900米，旁边农贸市场100米，700米工商银行，900米有农业银行，世纪联华，离众安电影院、肯德基也只要900米。
                  ",,,,,,,,,,
