,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,用水类型,用电类型,燃气价格,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,户型介绍,交通出行,税费解析,装修描述,适宜人群,别墅类型,售房详情,权属抵押
944,['碧桂园东旭府'],萧山-义桥,120.200829,30.089872,210,25036,提前预约随时可看,103111806006,51,3室2厅1厨1卫,低楼层 (共18层),83.88㎡,平层,65.69㎡,板楼,南,钢混结构,精装,两梯四户,有,,,,2020-10-18,商品房,2018-09-12,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,201020JI857174,"
                     中间楼层 中间套 看房方便有钥匙 全明户型
                  ","
                    小区环境是比较好的 里面绿化35% 空气清新 物业也是比较负责任的 每天是24小时轮班值班的 对小区住户的安全是负责任的
                  ","
                    此房为南向三室二厅一卫，建筑面积为83平米，三房两厅壹卫的格局
                  ","
                    出行比较方便 小区出门时代大道路口就是公交车站多个公交站点的
                  ","
                    小区配套齐全，1.小区楼下就是菜场 平时逛街 买菜等等生活方便 2.上学也是比较方便的 3.医院是在义桥镇上
                  ",,,,,,,
945,['浴美苑'],萧山-临浦,120.266363,30.047773,142,17733,提前预约随时可看,103108320860,49,3室1厅1厨1卫,中楼层 (共7层),80.08㎡,平层,80.08㎡,板楼,南,砖混结构,毛坯,一梯两户,无,,,,2020-04-01,商品房,2018-06-08,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,200401705897,"
                      毛坯两房朝南，一房朝北，东边套，户型方正明亮。诚心出售。
                  ","
                    毛坯三房，两房朝南，户型方正明亮，东边套户型。诚心出售，有钥匙，看房方便。
                  ",,"
                    纯毛坯三房，两房朝南，户型方正明亮，东边套户型。诚心出售，有钥匙，看房方便。
                  ","
                    物美，镇小交通方便，诚心出售，看房随时，有钥匙。欢迎看房。。
                  ",,,,,,,
946,['科尔世纪外滩'],萧山-萧山科技城,120.315752,30.275092,365,32055,提前预约随时可看,103115625621,2,3室2厅1厨2卫,低楼层 (共30层),113.87㎡,平层,暂无数据,板塔结合,东 南 北,钢混结构,简装,两梯三户,有,,,,2021-06-18,商品房,2018-05-21,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,210623RV531345,"
                    南临水博园，北临钱塘江，业主诚心出售，看房方便
                  ","
                    建筑面积约29万方，由10幢江景高层和49套纯正法式排屋组成。小区拥有一线江景和原生态湿地景观，坐拥钱江世纪城幅射范围内的配套，南临钱塘江，北临水博园。
                  ","
                    小区周.边配套齐全，世纪外滩位于钱塘江的南岸，九堡大桥（钱江八桥）东面1公里不到，北临钱塘江，距江面仅100米左右，西接钱江世纪城，南通中国水博园湿地，属于萧山区的科技城板块，南面规划科创中新
                  ",,,,,,,,,
947,['滨江东方海岸(萧山)'],萧山-闻堰,120.18433,30.126369,350,38946,提前预约随时可看,103108586533,25,3室2厅1厨1卫,低楼层 (共28层),89.87㎡,平层,65.82㎡,板楼,南,钢混结构,毛坯,两梯三户,有,,,,2020-04-15,商品房,2018-05-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,200425889714,"
                    此房纯毛坯，前面是排屋，采光不影响。
                  ","
                    
小区在湘湖风景区旁，滨江集团的作品，人居的优质选择，一线江景，视野开阔，小区亭台楼阁，游泳池。
                  ","
                    小区位于闻堰镇板块，生活配套齐，1000米内有大型购物物美*市，和大型农贸市场，交通也是很便利，小区西门口就是时代大道和闻兴路的公交车站小区边有中行，农行，建行，工行，浦发，储蓄，500-1000米左右。
                  ","
                    交通便利，小区门口就是公交站：178、326、176、352、344等，去主城区和萧山市区都很方便。
                  ",,,,,,,,
948,['滨水名庭'],萧山-萧山市区,120.295818,30.163587,355,26088,提前预约随时可看,103112115872,20,4室2厅1厨2卫,低楼层 (共28层),136.08㎡,平层,106.47㎡,板楼,南,框架结构,精装,两梯两户,有,,,,2020-11-08,商品房,2010-07-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,201108YL994716,"
                    此房满五唯一，阳台有拓张面积，小区旁边停车位充足。
                  ","
                    小区建成年代10年，环境还可以，右边临河，左边的城中村已经拆了。小区有门禁，保障小区安全性。
                  ","
                    房东是置换，很诚心出售，看房需要提前联系，贷款方式没有要求。
                  ",,,,,,,,"
                    此房精装修，全面户型，楼层适中，采光充足，家具家电齐全，实用面积大，自住体验好，买来可直接入住，节省了装修的时间和成本
                  ",
949,['家景园'],萧山-萧山市区,120.28595,30.16861,375,23189,提前预约随时可看,103117723555,3,4室2厅1厨2卫,低楼层 (共18层),161.72㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,,,,2021-10-20,商品房,2021-09-15,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,200725NY458225,"
                    四房2卫户型，04年房龄，诚心卖。
                  ","
                    本小区房龄是2004年的，电梯房，小区环境优美，高盛物业，管理服务优良。
                  ","
                    小区配套，华润万家，银隆百货，金马快乐城电影院健身馆，世纪华联，东门菜场，中医院，萧山医院，地铁2号线人民路地铁口等
                  ","
                    交通出行： 地铁2号线人民路站（1500米，来源于百度地图测)，杭州南站（1800米，来源于百度地图测），杭州国际机场（直线距离14.7公里，百度地图测），萧山汽车总站、萧绍路育才路口等公交站台，彩虹快速路，可以让您快速到达滨江、杭州。
                  ",,,,,,,,
950,['新城香悦半岛'],萧山-南部卧城,120.287474,30.144204,415,29837,提前预约随时可看,103115809231,6,4室2厅1厨2卫,低楼层 (共30层),139.09㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,,,,2021-06-28,商品房,2019-08-22,普通住宅,满两年,非共有,"
                                有抵押 133万元
                              ",已上传房本照片,210624UF607779,"
                    
次新小区，标准四叶草户型，纯边套，阳光刺眼，人车分流

                  ","
                    
小区人文环境好，南面是景观河，阳光好，本房适合年轻人居住，环境比较好，人车分流，价格比较不错
                  ","
                    
银泰城于今年年底投入使用（入驻盒马生鲜，星巴克）.世纪联华、物美商厦等 医疗：萧人民医院、杭州师大医学院附属、爱心医院、萧山泰和老年康复医院等 银行：中国银行、中国农业银行、萧山农村合作银行、中国邮政储蓄银行、兴业银行
                  ","
                    
项目路网密布，育才路、市心路与通惠南路，直达萧山老城、开发区；晨晖路与南秀路，通向湘湖风景区。距地铁二号线曹家桥地铁站约1.6公里（数据来自百度地图）
                  ",,,,,,,,
951,['佳境天城境合苑'],萧山-钱江世纪城,120.274513,30.224426,670,39834,提前预约随时可看,103116870481,4,4室2厅1厨2卫,高楼层 (共15层),168.2㎡,平层,70㎡,板楼,南,钢混结构,毛坯,一梯两户,有,,,,2021-08-28,商品房,2013-04-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210828YE863910,"
                    满五不唯一钱江世纪城地铁口 绿化高 环境好
                  ","
                    该小区07年交付，当时设计的理想以舒适度为主，环境好，小区室内篮球馆，网球场，室内游泳馆，艺术馆，潮童星教育机构，家境社区委员会。
                  ","
                    该小区07年交付，当时设计的理想以舒适度为主，环境好，绿化高，小区室内篮球馆，网球场，室内游泳馆，艺术馆，潮童星教育机构，佳境社区委员会。老人住起来舒服安静有电梯，省妇保在旁边。
                  ",,,,,,"
                    有钱江世纪城公园，西面有崇文和杭二中，省妇保。商场：1公里左右奥体印象城、往西500米大型农贸市场
                  ",,,
952,['绿都四季华庭'],萧山-南部卧城,120.289249,30.141773,295,33158,提前预约随时可看,103115001364,3,3室2厅1厨2卫,低楼层 (共30层),88.97㎡,平层,67.81㎡,塔楼,南,钢混结构,毛坯,两梯四户,有,,,,2021-05-13,商品房,2015-11-23,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,210428TX973119,"
                    
满五年，诚心出售，品质小区，中间楼层

                  ","
                    
此房小区为绿都开发商开发，绿城物业管理，小区环境好，绿化好， 小区配套设施完整，车位1499个人车分流。
                  ","
                    此房户型方正，楼层好，三开间朝南，客厅朝南带阳台，两房朝南一房朝北，适合三家之口居住
                  ",,"
                    
此小区处于育才路和晨晖路交叉的东南位置，公交车站较多，且离地铁二号线2公里左右，交通便利
                  ",,,,,,,
953,['绿都御景蓝湾'],萧山-义桥,120.19084765555,30.089297863737,290,32621,提前预约随时可看,103111256139,1,3室2厅1厨2卫,低楼层 (共26层),88.9㎡,平层,65.24㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,,,,2020-09-12,商品房,2018-07-23,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,180422341015,"
                    蓝湾经典中间套全明户型，温馨的三房两厅两卫的居室，动静分离；
                  ","
                    本土企业绿都开发商，小区交付年限新，居住环境舒适，交通便利，配套齐。*市、美容美发护理、菜场幼儿园等不出小区就能够到达。本小区沿江而建，环境优美。
                  ","
                    户型优势：三开间朝南，明厨明卫经典户型，通风好，楼间距宽，无遮挡视野好。 
                  ",,"
                    幼儿园:御景蓝湾国际幼儿园；医院：闻堰卫生院、义桥卫生院；邮局：义桥邮政支局；银行：农业银行、农商银行；其他：酒店、景点、游泳馆、药房、饭店、加油站等。
                  ",,,,,,,
954,['金帝金色钱塘'],萧山-萧山新城区,120.24224858748,30.194157071243,450,32210,有租户需预约,103106591721,28,4室2厅1厨2卫,低楼层 (共24层),139.71㎡,平层,110.37㎡,板塔结合,南,混合结构,简装,两梯三户,有,,,,2019-10-18,商品房,2011-05-05,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,191018506877,"
                    西边套  满五唯一 户型全明  四房两卫双阳台 
                  ","
                    2010年的房子配套成熟 两房朝南两房朝北 西边套户型 户型方正且全明  双阳台 
                  ","
                    西面300米风情大道经三桥直达市区，有风情大道老塘路口公交站，公交1502路1502（M）路、327路、368路均从此经过。地铁一号线滨康站，出行方便
                  ",,"
                    金帝金色钱塘有6幢排屋，4幢小高层，12幢高层，开发商是金帝，物业是中奥，，地理位置优越，交通方便，娱乐设施齐，占地约158亩，总建面约22万方
                  ","
                    距滨江配套成熟的西兴街道约800米，距离物美大卖场2公里，加州阳光生活广场2公里，恒隆广场3公里，为萧山滨江交界的枢纽地段！
                  ",,,,,,
955,['三江花园(萧山)'],萧山-闻堰,120.174522,30.135277,320,24696,提前预约随时可看,103109153642,57,3室2厅1厨2卫,低楼层 (共19层),129.58㎡,平层,暂无数据,板塔结合,南 西 北,钢混结构,毛坯,两梯三户,有,,,,2020-05-14,商品房,2008-06-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,201122WO513589,"
                    三江花园西边套，纯毛坯，没有住过人
                  ","
                    三江花园位于萧山闻堰板块，距钱塘江仅百步之遥，有*市、银行、邮局、农贸市场、江鲜一条街、闻堰社区医院、市民广场、文体娱乐等，满足衣食住行；20余亩沿江廊桥公园和滨江公园。
                  ","
                    商场： 好又多、乐购，世纪华联、上海宾佳，物美*市；医院：黄山村医务室，闻堰镇卫生院，闻堰镇牙科医院，和茂中医店；邮局：闻堰邮政储蓄；银行：农业银行，农商银行，建设银行，中国银行，邮政银行，萧山农村合作银行。
                  ","
                    公交：222路、344路、352路、706路； 开车：沿时代大道往北过冠山隧道可以通往滨江、萧山、富阳、杭州主城区；沿时代大道往南可以通往湘湖、萧山城区、东方文化园、绕城高速义桥入口。
                  ",,,,,,,,
956,['光明尚海湾'],萧山-南部卧城,120.286396,30.140425,280,31768,提前预约随时可看,103114978026,8,3室2厅1厨2卫,低楼层 (共30层),88.14㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,,,,2021-05-12,商品房,2018-04-11,普通住宅,满两年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,200823DE725130,"
                    次新小区，环境好，户型方正，看房方便，物业管理也不错
                  ","
                    小区物业管理较为严格，对进出人员都会排查，安全性较高，小区有儿童玩的游乐设备，小区也有自己的幼儿园，孩子平常在小区游玩，上下学也比较方便
                  ","
                    此房房龄较新，三开间朝南，采光面充足，主卧朝南带阳台，带独卫，次卧朝南，书房朝北，公卫朝北，厨房有窗户，对着通风井，油烟味道容易散去。
                  ",,"
                    本房适合年轻人居住，环境比较好，人车分流，价格比较不错，压力小
                  ",,,,"
                    全屋定制家具，实木橱柜，方太燃具，西门子洗碗机，西门子冰箱，西门子洗烘一体机，德国蒸烤箱，TOTO系列淋浴盥洗用具，两套TOTO全智能马桶，东芝空调，顾家家居
                  ",,,
957,['三水一生'],萧山-义桥,120.200346,30.104131,265,15890,提前预约随时可看,103109710859,41,4室2厅1厨2卫,高楼层 (共5层),166.78㎡,跃层,152.3㎡,板楼,南 西 北,砖混结构,简装,一梯两户,无,,,,2020-06-13,商品房,2017-01-11,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,200613497015,"
                    不沿高架，跃层，大露台，采光通风都很棒。
                  ","
                    小区都是多层，体量适中，楼间距很大，绿化面积大，环境优美，适合居住的地方，小区内有幼儿园。
                  ","
                    三水一生位于东方文化园景区旁，正三江口，此房业主诚心出售，看房方便。
                  ",,,,,,"
                    此房是2006年建成的，多层的五楼跃层，不沿高架，采光通风都很棒。
                  ",,,
958,['嘉利公寓'],萧山-萧山新城区,120.290036,30.203669,238,28113,提前预约随时可看,103112328840,51,2室1厅1厨1卫,低楼层 (共6层),84.66㎡,平层,74.92㎡,板楼,南,混合结构,精装,一梯两户,无,,,,2020-11-22,商品房,2005-06-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,190609811456,"
                    此房满五唯一,架空一楼，低总价，全新装修，适合老年人居住
                  ","
                    商场：大润发*市，万向汇。医院：萧山开发区医院，萧山医院。银行：农商银行。小区内部配套：停车位
                  ",,"
                    小区门口就公交站（建设二路万向路口），距离（国际俱乐部）站197米，（宁税村）站238米，离地铁2号线1.3公里
                  ",,,,,,,,
959,['南城景园'],萧山-南部卧城,120.284545,30.117072,205,20453,提前预约随时可看,103102610831,78,3室2厅1厨2卫,低楼层 (共6层),100.23㎡,平层,87.77㎡,板楼,南 北,钢混结构,简装,一梯两户,无,,,,2018-07-14,商品房,2013-03-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,180730663522,"
                    小区环境优美，楼间距大，采光足,看房方便。
                  ","
                    自驾车：从钱江四桥、三桥都可达到萧山市区，然后从市心南路、通惠路转所前大道直达公交：杭州-萧山：K515、K315等；萧山-本项目：K730路、K747路、K7路（朝阳村站） 地铁二号线：距离地铁二号线站点末端朝阳村站约1.5公里
                  ",,"
                    70年产权商品房 2012年小区建成；房子满5年 ，没有5.6%增值税
                  ",,"
                    科尔南城景园邻杭州市东南的杭州生态园，位于萧山区城南、育才路南板块，杭州地铁二号线站点末端约1.5公里（直线距离），成就城市优雅居所。依托区域优越生态环境，社区三水相依、一湖相畔，可谓名副其实的“一园景色半园湖”
                  ",,,,,,
960,['金帝金色钱塘'],萧山-萧山新城区,120.24224858748,30.194157071243,450,32210,有租户需预约,103106591721,28,4室2厅1厨2卫,低楼层 (共24层),139.71㎡,平层,110.37㎡,板塔结合,南,混合结构,简装,两梯三户,有,,,,2019-10-18,商品房,2011-05-05,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,191018506877,"
                    西边套  满五唯一 户型全明  四房两卫双阳台 
                  ","
                    2010年的房子配套成熟 两房朝南两房朝北 西边套户型 户型方正且全明  双阳台 
                  ","
                    西面300米风情大道经三桥直达市区，有风情大道老塘路口公交站，公交1502路1502（M）路、327路、368路均从此经过。地铁一号线滨康站，出行方便
                  ",,"
                    金帝金色钱塘有6幢排屋，4幢小高层，12幢高层，开发商是金帝，物业是中奥，，地理位置优越，交通方便，娱乐设施齐，占地约158亩，总建面约22万方
                  ","
                    距滨江配套成熟的西兴街道约800米，距离物美大卖场2公里，加州阳光生活广场2公里，恒隆广场3公里，为萧山滨江交界的枢纽地段！
                  ",,,,,,
961,['恒泰御庭园'],萧山-钱江世纪城,120.28014,30.219374,510,27730,提前预约随时可看,103113829500,14,4室2厅1厨2卫,中楼层 (共6层),183.92㎡,平层,167.84㎡,板塔结合,南 北 东,钢混结构,毛坯,一梯两户,无,,,,2021-03-12,商品房,2004-08-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210326UO448293,"
                     离钱江世纪城一路之隔  中间楼层多层洋房
                  ","
                    小区为多层花园洋房,御庭园一共有27栋，其中25-26-27是电梯房，自带幼儿园，位于萧山区市心北路东侧与文明路交汇处，距萧山区政府三千米，上机场高速五百米，至规划建设中的钱江隧道三千米，道路通畅，是未来杭州大都市。小区占地100余亩得房率高！
                  ","
                    没有增值税 ，首套契税1.5% ，2套契税2%..........
                  ",,,,"
                    距离振宁路地铁口约500米！距离机场高速1公里！到机场市区出行方便！交通便利！
                  ",,,,,
962,['三水一生'],萧山-义桥,120.200346,30.104131,265,15890,提前预约随时可看,103109710859,41,4室2厅1厨2卫,高楼层 (共5层),166.78㎡,跃层,152.3㎡,板楼,南 西 北,砖混结构,简装,一梯两户,无,,,,2020-06-13,商品房,2017-01-11,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,200613497015,"
                    不沿高架，跃层，大露台，采光通风都很棒。
                  ","
                    小区都是多层，体量适中，楼间距很大，绿化面积大，环境优美，适合居住的地方，小区内有幼儿园。
                  ","
                    三水一生位于东方文化园景区旁，正三江口，此房业主诚心出售，看房方便。
                  ",,,,,,"
                    此房是2006年建成的，多层的五楼跃层，不沿高架，采光通风都很棒。
                  ",,,
963,['北辰奥园'],萧山-南部卧城,120.253097,30.13765,330,26003,提前预约随时可看,103111140621,50,4室1厅1厨2卫,低楼层 (共34层),126.91㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯四户,有,,,,2020-09-06,商品房,2018-11-22,普通住宅,满两年,非共有,"
                                有抵押 98万元 中国建设银行 业主自还
                              ",已上传房本照片,200906VX305855,"
                    毛坯房  带大露台 看房有钥匙 房东诚心卖
                  ","
                    小区成熟，体量较大，居住率较高，环境优美，居住的人群更偏向于年轻化。南都物业，物业管理严格，多进出人员都会严格排查，安全系数高，小区人车分流，车辆从大门直接下地库，闲暇时小区散步，避免机动车辆的打扰。北辰曾是奥运、峰会服务商，品质有保证。


                  ","
                    距离曹家桥地铁站（已建成）2公里，距离加州阳光等大型商场也只需5公里左右，湘湖隧道至滨江，向旭隧道、套内大型综合体，南面是别墅群、湘湖度假区规划用地，未来提升空间潜力大。


                  ","
                    房子为商品房，现在没有满五年，1个点个税.契税按照首套或者二套计算综合税5.3都需要缴纳.
                  ",,,"
                    小区位置在南三路，紧靠蜀山路风情大道，直通滨江，距离地铁二号线曹家桥站1.8公里左右（数据来源百度地图），晨晖路以及蜀山路多条公交线路，出行便利。


                  ",,,,,
964,['通和戈雅公寓'],萧山-闻堰,120.163902,30.148214,420,33147,提前预约随时可看,103114706932,7,3室2厅1厨1卫,中楼层 (共32层),126.71㎡,平层,100.66㎡,板楼,南 北 东,钢混结构,精装,两梯三户,有,,,,2021-04-26,商品房,2008-12-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210429VQ014570,"
                    此房满五唯一，东边套，入户门口小花园，精装修
                  ","
                    戈雅公寓，一个位于杭州钱塘江南岸、规划建筑面积达40万方的“西班牙大花园”，规划有低层西班牙洋房、江景高层公寓、地中海坡地别墅排屋三大类产品。小区内带有娱乐休闲运动场所
                  ","
                    此房配套完善，小区内自带步行街，餐饮，美容美发，果蔬店，距离大型购物商场大概600米左右，边上有钱江渔村大酒店，快餐店，烧烤店，大型农贸菜市场等
                  ","
                    婚房精装房，美院名家设计全窝进口材料，东边套全明，进户15方独立花园平台，80万全套装修，拎包入住。意大利道格拉斯进口瓷砖，科勒进口卫浴，双人按摩浴缸，夏普进口60寸电视，西门子家电，全套定制顾家家居，富得利实木
                  ",,,,"
                    交通状况 公交：352路、431路、326路以及326区间，距离4号地铁交通状况 公交：352路、431路、326路以及326区间，距离4号地铁口只有3站，出行无忧。
                  ",,,,
965,['南城景园'],萧山-南部卧城,120.284545,30.117072,205,20453,提前预约随时可看,103102610831,78,3室2厅1厨2卫,低楼层 (共6层),100.23㎡,平层,87.77㎡,板楼,南 北,钢混结构,简装,一梯两户,无,,,,2018-07-14,商品房,2013-03-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,180730663522,"
                    小区环境优美，楼间距大，采光足,看房方便。
                  ","
                    自驾车：从钱江四桥、三桥都可达到萧山市区，然后从市心南路、通惠路转所前大道直达公交：杭州-萧山：K515、K315等；萧山-本项目：K730路、K747路、K7路（朝阳村站） 地铁二号线：距离地铁二号线站点末端朝阳村站约1.5公里
                  ",,"
                    70年产权商品房 2012年小区建成；房子满5年 ，没有5.6%增值税
                  ",,"
                    科尔南城景园邻杭州市东南的杭州生态园，位于萧山区城南、育才路南板块，杭州地铁二号线站点末端约1.5公里（直线距离），成就城市优雅居所。依托区域优越生态环境，社区三水相依、一湖相畔，可谓名副其实的“一园景色半园湖”
                  ",,,,,,
966,['澜颂奥府'],萧山-萧山新城区,120.249493,30.205519,410,46933,提前预约随时可看,103116508168,11,3室1厅1厨2卫,高楼层 (共27层),87.36㎡,平层,暂无数据,板塔结合,南,砖混结构,毛坯,两梯四户,有,,,,2021-08-08,商品房,2018-05-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210809DE874591,"
                    采光好，位置佳，户型方正，配套齐全，交通便利
                  ","
                    2018年交房的次新小区，一共10幢，总体量约19万方，总户数：1271户，主力户型为：89方3房2卫的户型， 其次改善户型为：117方和129方的户型，环境美观。
                  ","
                    小区西北角有百家旺干净卫生，西面有农贸市场生活便利，小区小吃店多。 小区东南方向距离萧山宝龙广场约1.6公里。 小区北面距离正在建设的开发区医院约600米（高德地图）。
                  ","
                    小区西北方向距离明星路7号线地铁站约1.4公里（高德地图），转5号线、2号线都很方便。最近的公交站是博奥路建设二路口公交站，361路、713路、762路、1515M路地铁接驳线
                  ",,,,,,,,
967,['嘉利公寓'],萧山-萧山新城区,120.290036,30.203669,238,28113,提前预约随时可看,103112328840,51,2室1厅1厨1卫,低楼层 (共6层),84.66㎡,平层,74.92㎡,板楼,南,混合结构,精装,一梯两户,无,,,,2020-11-22,商品房,2005-06-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,190609811456,"
                    此房满五唯一,架空一楼，低总价，全新装修，适合老年人居住
                  ","
                    商场：大润发*市，万向汇。医院：萧山开发区医院，萧山医院。银行：农商银行。小区内部配套：停车位
                  ",,"
                    小区门口就公交站（建设二路万向路口），距离（国际俱乐部）站197米，（宁税村）站238米，离地铁2号线1.3公里
                  ",,,,,,,,
968,['滨江江南之星'],萧山-萧山新城区,120.249695,30.194969,500,55835,提前预约随时可看,103115793124,3,3室2厅1厨2卫,高楼层 (共34层),89.55㎡,平层,71.93㎡,板楼,南,钢混结构,毛坯,两梯四户,有,,,,2021-06-27,商品房,2019-05-20,普通住宅,满两年,非共有,"
                                有抵押 162万元
                              ",已上传房本照片,210627FP977056,"
                    小区中间楼幢 89方纯毛坯中间套 高楼层采光好
                  ","
                    滨江集团在萧山打造的标杆小区，高品质小区；滨江物业，管理完善，物业费3.8元每平每月。2、小区是2019年1月份交付，小区新，绿化好，三泳池（地上两个地下一个）。3、小区共20幢，由电梯高层和电梯洋房组成
                  ","
                    89方刚需户型，三开间朝南，客餐厅一体，客厅主卧次卧朝南，书房朝北，两个全明卫生间，采光面积充足，户型方正。
                  ",,"
                    此房为19年交付的次新房，未满5年，有增值税5.3%， 个税1%， 契税1%
                  ",,,,,,,
969,['滨江江南之星'],萧山-萧山新城区,120.249695,30.194969,515,57827,有租户需预约,103115308501,4,3室2厅1厨2卫,高楼层 (共34层),89.06㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,,,,2021-05-30,商品房,2019-10-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,200620395898,"
                    好楼幢，高楼层，中间户型，品质小区，优秀物业
                  ","
                    滨江集团在萧山打造的标杆小区，高品质小区；滨江物业，管理完善，物业费3.8元每平。小区是2019年1月份交付，小区新，绿化好，三泳池（地上两个地下一个）。小区共20幢，2372户左右；由电梯高层和电梯洋房组成
                  ","
                    小区位于博奥路与金惠路交叉口西北侧，处于萧山新城区，地理位置优越，地处萧山与滨江接壤处，配套成熟，博奥路庆春隧道与2021年贯通直达杭州的钱江新城区。1.5公里内有物美*市、萧山宝龙广场（永辉*市）、星座标、加州阳光城市生活广场、德圣农贸市场 ..
                  ","
                    
5号线博奥路站700米左右， 公交路线：建设一路风情大道路口：368路 风情大道老塘路口：368路 建设一路风情大道口：515路 地铁滨康路站：177路
                  ",,,,,,,,
970,['南岸花城'],萧山-闻堰,120.20319,30.11291,295,22972,下班后可看,103112488050,3,3室2厅1厨2卫,中楼层 (共11层),128.42㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,,,,2020-12-04,商品房,2007-06-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,201223VM609049,"
                    此房房东诚心出售，精装修，看房方便，户型方正，采光无影响..好
                  ","
                    南岸花城位于钱江南岸萧山区闻堰镇三江口，湘湖旅游度假区内，东靠山里人家、南依东方文化园、西临闻戴公路、北距闻堰镇近3公里，离钱江一桥约12公里，南距钱江五桥约1.5公里，绕城公路及义桥入口处约1公里，西离钱塘江仅200余米
                  ","
                    小区配套齐全，医院：湘湖医院、闻堰镇卫生院 邮局：义桥邮政支局、闻堰邮政储蓄、浦沿邮政支局 银行：萧山农村合作银行、萧山农村合作银行湘湖农场分理处 其他：万利商务酒店、一条江鲜街、钱江渔村、移动营业厅、联通营业厅、闻堰派出所、湘湖工商所
                  ","
                    公交：405路、352路、726路 、178路 、745路 、719路 时代大道，通萧山滨江杭州诸暨富阳等城市，交通便利
                  ",,,,,,,,
971,['众安山水苑一期'],萧山-萧山市区,120.259528,30.15464,410,25008,提前预约随时可看,103112617580,3,4室2厅1厨2卫,中楼层 (共6层),163.95㎡,平层,163.95㎡,板楼,南,砖混结构,精装,一梯两户,无,,,,2020-12-13,商品房,2017-12-18,普通住宅,满两年,共有,"
                                有抵押 295万元 / 业主自还
                              ",已上传房本照片,201218HZ074183,"
                    税费少。户型正气，东边套，采光好。
                  ","
                    众安.山水苑项目地处萧山南部，与繁华都市紧密相连，也是萧山惟一的中教园区块，小区距离湘湖约1.5km。
                  ","
                    中餐厅;*市;美容美发;洗衣房;公园绿化:萧然山 公园自然景观:里秀河就医条件:萧山人民医院
                  ","
                    小区距离二号线潘水站约1.4km，小区门口有山水苑、萧十中等公交站可直达滨江杭州
                  ",,,,,,,,
972,['滨江东方海岸(萧山)'],萧山-闻堰,120.18433,30.126369,350,38946,提前预约随时可看,103108586533,25,3室2厅1厨1卫,低楼层 (共28层),89.87㎡,平层,65.82㎡,板楼,南,钢混结构,毛坯,两梯三户,有,,,,2020-04-15,商品房,2018-05-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,200425889714,"
                    此房纯毛坯，前面是排屋，采光不影响。
                  ","
                    
小区在湘湖风景区旁，滨江集团的作品，人居的优质选择，一线江景，视野开阔，小区亭台楼阁，游泳池。
                  ","
                    小区位于闻堰镇板块，生活配套齐，1000米内有大型购物物美*市，和大型农贸市场，交通也是很便利，小区西门口就是时代大道和闻兴路的公交车站小区边有中行，农行，建行，工行，浦发，储蓄，500-1000米左右。
                  ","
                    交通便利，小区门口就是公交站：178、326、176、352、344等，去主城区和萧山市区都很方便。
                  ",,,,,,,,
