,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,适宜人群,周边配套,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,税费解析,交通出行,售房详情,装修描述,权属抵押,用水类型,用电类型,房源核验统一编码,查询房管备案记录,燃气价格
493,['马溪苑'],临安-临安,119.72447048084,30.253689481862,570,20252,提前预约随时可看,103115745193,8,5室2厅1厨6卫,低楼层 (共3层),281.46㎡,暂无数据,南,框架结构,精装,双拼,2021-06-24,商品房,2009-09-16,别墅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是联排，位置比较好， 有天有地，小菜园可以种菜，养花
                  ",,"
                    小区人文环境好， 基本为本地的小区居民，适合一大家子， 老人有天有地的感觉
                  ","
                    房子后面是马溪河，夜晚早晨可以跑跑步，家门口大中小 学，北站农贸市场方便购物。
                  ",,,,,,,,,"
                    房东自住精装修，楼梯很亮，保养很好，装修风格现代，清爽。拎包入住
                  ",,,,,,
494,['青城山语间'],临安-临安,119.79808377375,30.276645631515,900,44897,提前预约随时可看,103106753860,10,6室2厅1厨5卫,低楼层 (共2层),200.46㎡,暂无数据,南,框架结构,毛坯,独栋,2019-10-31,商品房,2008-08-20,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    
视野开阔 房东诚心 花园朝南有780多方 负氧离子多 适合养老
                  ",,"
                    
本房所处环境优雅，空气清新，负氧离子高，适合工作之余度假、养老，儿童玩耍嬉戏。
                  ","
                    
越秀星汇城、大型*市、万豪酒店、宝龙城市广场（在建）、八百里地铁站（在建）、青山湖、青山湖中医院、 狮山公园、、、、、、
                  ",,,,,"
                    青城山语间”位于距杭州市区以西，临安市以东，整个地块山青水秀、环境清幽。绿化面积大，建筑设计线条明朗，色彩简约，结合山地水域，设计错落有致
                  ",,,,,,,,,,
495,['西墅保锦苑'],临安-临安,119.71028820492,30.24878439313,660,21272,提前预约随时可看,103109529465,29,4室2厅1厨5卫,低楼层 (共3层),310.28㎡,暂无数据,南 西 北,框架结构,精装,双拼,2020-06-03,商品房,2018-06-12,别墅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满两年   南北通透格局  三层加地下室  采光充足  配套齐全
                  ",,"
                    业主自住房，精装修，保养好，贷款方式不限 适合大家庭居住，配套齐全
                  ",,,,,,,,,"
                    业主自住四五年，现因孩子大了，两个人住太大，卖房换房，计划跟孩子住近点，看房提前预约
                  ","
                    精装修，品牌家电，进口环保厨具卫具，保养较好，拎包入住，全铜大门
                  ",,,,,,
496,['御城御园'],临安-临安,119.72433142088,30.226049568765,422,15278,提前预约随时可看,103111471369,3,4室2厅1厨3卫,中楼层 (共8层),276.22㎡,暂无数据,南,框架结构,毛坯,,2020-09-26,商品房,2014-03-07,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,"
                    卖点： 格局，楼层好，视野宽阔，采光充足，配套设施齐全。
                  ","
                     户型方正，结构好，房龄新，四房两厅一厨三卫，三开间朝南，一线江景房，中间楼层
                  ",,"
                     距离本小区南面50米为锦溪绿化带。北面50米为吴越大街。西面100米是美丽湾小区。
                  ",平层,板楼,两梯两户,有,"
                    小区环境优美 ，山水如画，鸟语花香，适宜居住，是休闲度假的好地方
                  ",,,,,,,,,,
497,['吴越人家北区'],临安-临安,119.72492358446,30.265426526803,310,13761,提前预约随时可看,103116721892,5,4室2厅1厨2卫,高楼层 (共9层),225.28㎡,225.28㎡,南,钢混结构,简装,,2021-08-20,商品房,2007-12-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    大面积跃层，户型方正，配套设施齐全，交通便利，视野宽阔采光
                  ",,"
                    成熟大型小区，配套会所，一百米有农林大学小区，茶余饭后不错的休闲与散步场所，小区有自带幼儿园，位于宜居地段。
                  ","
                    有吴越人家幼儿园50米以内，临中5公里以内，农林大学1公里以内。生活配套有华联1公里以内，临安市人民医院5公里以内，城中街邮政营业所1公里以内，交通银行临安支行1公里以内
                  ",跃层,板楼,两梯两户,有,"
                    房子为次新小区，房龄次新，坐北朝南，结构方正，楼层好无遮挡采光好，实际使用面积大
                  ",,,,,,,,,,
498,['吴越人家北区'],临安-临安,119.72492358446,30.265426526803,313,14299,提前预约随时可看,103116913019,0,5室4厅1厨3卫,高楼层 (共6层),218.9㎡,199.92㎡,南,钢混结构,精装,,2021-08-30,商品房,2007-11-20,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,"
                    户型方正，通透格局，采光充足，生活便利
                  ",,,"
                    离农林大学300米来自百度地图，离美食城100米来自百度地图，离保龙广场500米
                  ",跃层,板楼,一梯两户,无,"
                    房子在农林大学边上，分南北区和北区，有自带的幼儿园，小区居住的大部分业主都是农林大学的老师，人文素质都挺好，小区环境优美，安静，
                  ",,,,,,,,,,
499,['文澜苑'],临安-临安,119.72493240982,30.243397149736,240,11268,提前预约随时可看,103117721330,1,5室2厅1厨3卫,高楼层 (共6层),213㎡,暂无数据,南,框架结构,精装,,2021-10-20,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,"
                    户型方正，视野开阔，配套齐全，生活方便
                  ","
                    此房是跃层的，三开间朝南的，北靠苕溪，能看到整个苕溪水岸秀美的河岸风景
                  ","
                    房源适合任何人群，人文环境好，养老，读书也方便，的廊桥上面人也比较多方便，晚上还会有唱歌、戏曲
                  ","
                    
该房源500米左右，银行，菜市场，医院等配套齐全，生活方便，后面紧靠苕溪，环境优美，是晨练和傍晚散步的好去处
                  ",跃层,塔楼,一梯一户,无,,,,,,,,,,,
500,['吴越人家南区'],临安-临安,119.72522634794,30.263594991688,256,13502,提前预约随时可看,103116366504,1,4室2厅1厨2卫,高楼层 (共6层),189.61㎡,暂无数据,南,钢混结构,精装,,2021-07-31,商品房,2017-02-28,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    大面积，清爽装修，户型好，采光好
                  ",,"
                    老少皆宜，楼层好、不临街、配套齐全，小区自带幼儿园，无论婴孕老小都适合。
                  ","
                    小区自带会所，公立幼儿园，边上是农林大学，美食城，500米处有5万方宝龙广场及在建中医院，生活配套完善
                  ",跃层,板楼,一梯两户,无,"
                    小区环境绿化高、空气清新、环境优美，居住人群素质高、大部分是大学老师等，邻里关系和谐。
                  ",,,,,,,,,,
501,['大华春山明月'],临安-临安,119.816564,30.265298,1510,61134,具体信息请致电经纪人,103117756700,1,5室2厅1厨4卫,低楼层 (共2层),247㎡,暂无数据,南 北,钢混结构,其他,暂无数据,2021-10-22,商品房,暂无数据,别墅,暂无数据,非共有,"
                                暂无数据
                              ",未上传房本照片,,,,,,,,,,,,,,,,,,,
502,['筑境花园'],临安-临安,119.73700494332,30.254474484172,383,15178,提前预约随时可看,103116806226,17,5室2厅1厨3卫,低楼层 (共3层),252.35㎡,暂无数据,南,框架结构,毛坯,独栋,2021-08-24,商品房,2019-08-17,别墅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    地铁口的排屋，地下一层地上三层，带大院子车库
                  ","
                    05年的建筑，这期的排屋户型比较方正，四个房间 自带车库和花园。
                  ","
                    适合喜欢有天有地带花园的，大户人家有多个房间，可根据您喜欢的风格装饰您的房子
                  ","
                    小区的旁边就是宝龙广场，吃饭逛街娱乐与一体，前面就是农林大学。农林大学站16号线也近


                  ",,,,,,,"
                    武肃街直通科技大道快速路，小区距离地铁16号线，农林大学站600米，16号线道绿汀路换乘5号线或者3号线直达杭州每个角落，到机场火车站地铁都可以换乘，出门100米内有公交，300米内有公共自行车。离宝龙商场只有100多米 临安上高速道杭州西口下 ETC免费
                  ",,,,,,,,
503,['锦绣兰庭(临安)'],临安-临安,119.72355308074,30.251722333725,520,16415,下班后可看,103108349627,26,5室2厅1厨6卫,低楼层 (共4层),316.79㎡,暂无数据,南 北,砖混结构,精装,联排,2020-04-02,商品房,2015-02-25,别墅,满五年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,"
                    此房满两年，320方，带地下室共5层  带两车位！
                  ","
                     锦绣兰庭地上四层，地下一层，前后小花园，总共有5个房间，客厅朝南，房子是2011年，物业费6毛钱一平方，车位可停地下室，每个房间都有 卫生间和窗户
                  ",,,,,,,"
                    小区位于锦北板块，有多层住宅和排屋两种产品形式，低密度，适宜老人孩子居住
                  ","
                     房子为住宅性质，可以接受按揭，也可以一次性付款，房子满两年了，有个税1%
                  ",,,,,,,,,
504,['万马伊顿庄园'],临安-临安,119.739343,30.25278,1280,34205,下班后可看,103116406616,5,6室4厅1厨5卫,低楼层 (共3层),374.22㎡,暂无数据,南 西南,钢混结构,精装,联排,2021-08-02,商品房,2017-03-02,别墅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    独栋别墅 前后花园和地下室，满两年，前后花园和地下室，满两..
                  ","
                    此房，6房带地下室，一个停车位可停两个车，采光好，间距广，适合长期居住
                  ","
                    适合小年轻刚需人群，也适合老年人有电梯楼层低，出门就是苕溪景观道，饭后周末可以散步
                  ","
                    本小区边上商圈配套齐全，西北面就是宝龙广场 北面是农林大学，东南面300米就是农林大地铁口 边上就是科技大道快速路直达余杭。
                  ",,,,,,,"
                    自驾到杭州走杭瑞高速，直达杭城，。距离农林大学地铁站大概500米左右，小区门口有公交车站牌。
                  ",,,,,,,,
505,['明月山庄'],临安-临安,119.71191,30.250163,496.9,15449,提前预约随时可看,103115708186,4,4室2厅1厨2卫,低楼层 (共3层),321.64㎡,暂无数据,南,钢混结构,毛坯,联排,2021-06-22,商品房,2010-01-08,别墅,满五年,非共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,"
                    
明月山庄排屋，1到3层，毛坯，带车库
                  ",,,"
                    此小区配套成熟500米处有大的综合体吃喝玩乐一体，吃饭购物都很方便，还有大型大润发
                  ",,,,,"
                    
小区环境优美，绿化覆盖率高，设施配套齐全，适宜各阶段人群居住
                  ",,"
                    
距离人民广场地铁站一公里，小区旁边就是临安公交北站，内有（803路.812路.813路816路.599路.820路.821路.822路）等
                  ",,,,,,,,
506,['锦尚唐宁郡'],临安-临安,119.751277,30.233381,220,20615,提前预约随时可看,103117486954,1,3室2厅1厨2卫,中楼层 (共18层),106.72㎡,暂无数据,南,钢混结构,精装,,2021-10-04,商品房,2017-01-20,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    三房精装修，拎包入住，环湖绿道，出行方便
                  ",,,"
                    
青山湖环湖跑道，望湖公园，博物馆，临安汽车东站，高速出入口，香格里拉大酒店，银行等
                  ",平层,板塔结合,两梯四户,有,"
                    此小区是锦尚开发的，由高层和排屋组成，建成年代大约是2015年左右，此房为边套户型
                  ",,"
                    小区大门口有598路公交车直达杭州汽车西站，临安高速收费站300米(来源于百度地图），临安汽车东站400米。
                  ",,,,,,,,
507,['锦天城市花园'],临安-临安,119.723778,30.22912,180,13352,提前预约随时可看,103117517296,1,3室2厅1厨2卫,高楼层 (共6层),134.82㎡,暂无数据,南,混合结构,精装,,2021-10-07,商品房,2006-02-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房精装修，采光充足，交通便利，适合居住
                  ","
                    三开间朝南，两卫，客厅带阳台，客厅，卧室都很大。楼梯房得房率高。
                  ",,"
                    从小区石境步行距离100米，到万华广场步行距离1.5公里，生活配套齐全
                  ",错层,板楼,一梯两户,无,"
                    小区位于位于临安石镜街
开发 商：杭州锦天房地产开发有限公司 
建筑年代：2005年建成，2007年交房
                  ",,,,,,,,,,
508,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,230,25710,只周末可看,103117568124,2,2室2厅1厨1卫,高楼层 (共32层),89.46㎡,暂无数据,南 北,钢混结构,精装,,2021-10-10,商品房,2016-12-01,普通住宅,满两年,共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,"
                    近轻轨 近宝龙 小区环境优美 毛胚房 自由装修
                  ",,,"
                    区自带星汇天地综合体，有电影院，KTV，联华市、邻家大药房、中国银行等，小区门口有公交站可直接到蒋村，出行方便，距离地铁口青山湖科技城站大概800米左右（来自百度地图），宝龙城市广场（在建）大概400米左右（来自百度地图）
                  ",平层,板楼,两梯四户,有,,,"
                    
K31/37/465/599公交、科技大道、杭瑞高速和02省道可到临安、余杭、横畈、杭州
                  ",,,,,,,,
509,['西墅锦园'],临安-临安,119.70876002047,30.245531180118,233,17209,提前预约随时可看,103117654582,0,3室2厅1厨2卫,高楼层 (共10层),135.4㎡,暂无数据,南,砖混结构,简装,,2021-10-15,商品房,2017-04-21,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    电梯房  三房两厅一厨二卫，诚心出售，简单装修
                  ","
                    
西墅景园是2013年的房子 三室两厅一厨两卫，卫生间都是明卫，厨房很大，是双阳台，采光很好，卧室两室朝南，一室朝北，主卧带卫生间
                  ",,"
                    
配套成熟，距离地铁16号线人民广场站2公里，距离临安汽车北站500米距离春天华府生活广场500米、浙皖农贸城1公里距离锦城二中1.5公里距离锦北医院500米，临安区中医院1.5公
                  ",平层,塔楼,一梯两户,暂无数据,,,"
                    交通出行： 距离临安汽车北站500米，距离地铁16号线人民广场站2公里，距离临安汽车北站500米，公交便利，公交599路直达杭州蒋村公交站。长西线快速路连接杭徽高速、科技大道快速路，交通便利。
                  ",,,,,,,,
510,['玲珑府园'],临安-临安,119.694655,30.220913,175,16873,有租户需预约,103117632564,0,3室2厅1厨1卫,中楼层 (共11层),103.72㎡,暂无数据,南,钢混结构,简装,,2021-10-14,商品房,2015-02-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    玲珑山脚下，简单装修，花园边，停车方便
                  ",,,"
                    小区在钱王街上，有时代生活广场、万华广场等，生活配套齐全，离玲珑森林公园也近，环境好，茶余饭后散散步很不错
                  ",平层,板楼,两梯两户,有,"
                    小区位于玲珑板块，小区环境优美，干净整洁，楼间距宽，小区24小时安保。人车分流，老人可以悠闲得散步，小孩可以尽情地玩耍
                  ",,,,"
                    
简单装修，目前已出租，新小区，环境优雅，位于玲珑山旁边，早晚可以爬出活动活动筋骨
                  ",,,,,,
511,['钱王街840号'],临安-临安,119.71745355517,30.230611217513,170,14010,提前预约随时可看,103117532471,0,3室2厅1厨2卫,低楼层 (共6层),121.35㎡,暂无数据,南,混合结构,其他,,2021-10-08,商品房,2010-10-11,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,"
                    
房子在钱王大街上，三房带装修。
                  ",,,"
                    该房子在2楼，以前的老装修，有三个房间，房子得房率很高，适合居住
                  ",错层,板塔结合,一梯一户,无,,"
                    房子满五唯一，无需个税，房东出中介费的，买房出契税和中介费，首套一个点，二套二个点，中介费
                  ",,"
                    房东名下就这一套房子，满五唯一，现在住乡下了，把这套房子出售
                  ",,,,,,,
512,['锦竹苑'],临安-临安,119.72599356682,30.251731873178,158,16271,提前预约随时可看,103117723935,2,4室2厅1厨2卫,高楼层 (共6层),97.11㎡,暂无数据,南,框架结构,精装,,2021-10-20,商品房,2006-07-12,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    地段好，户型好，采光好，配套完善，交通便利。。
                  ",,,"
                    
医院：临安水寿庄医院1287米，临安人民医院1366米 chao市：联华chao市958米 公园：迎宾公园619米，钱王阁969米
                  ",平层,板楼,一梯两户,无,,,"
                    
公交车：806路，891路，804路内外环，821路，822路，823路，891路
                  ",,,,,,,,
513,['江桥路467号'],临安-临安,119.72707299681,30.238640435133,133,12729,提前预约随时可看,103117791479,2,3室2厅1厨1卫,高楼层 (共7层),104.49㎡,暂无数据,南,未知结构,精装,,2021-10-25,商品房,2002-01-29,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    总价低，采光好，生活交通都方便
                  ","
                    此房为三房二厅一厨一卫，三开间朝南，南北两个阳台，南面楼下是停车场，采光无遮拦
                  ","
                    旁边配套齐全，有商场、永辉、菜场、医院、公交站、停车场；适合刚需人群
                  ","
                    对-面就是钱王财富-中-心购物广场，能满足日常生活需求，500M内临安人民医院，楼下就有公交站，交通方便
                  ",平层,暂无数据,一梯一户,暂无数据,,,,,,,,,,,
514,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,236,26366,提前预约随时可看,103117784232,0,3室2厅1厨2卫,高楼层 (共33层),89.51㎡,暂无数据,南,钢混结构,毛坯,,2021-10-24,商品房,2019-04-29,普通住宅,满两年,共有,"
                                有抵押 63万元 业主自还
                              ",已上传房本照片,"
                    小区环境优美 近轻轨 近宝龙 纯边套 满两年 中高楼层 
                  ","
                    本房为纯边套户型，三房两厅两卫，主卧次卧朝南，儿童房朝北，采光无遮挡
                  ",,"
                    
1，小区自带星汇天地有：万豪酒店、悦芳泉美容SPA、世纪联华、酒吧、KTV、影视城、中国银行、菜场、、理发、餐厅等等。 2，小区有游泳池、健身房、瑜咖室、室外多功能球场、儿童活动。 3，青山中医院，佳远医院，青山湖科技城二甲医院。
                  ",平层,板楼,两梯四户,有,"
                    小区绿化好，小区自带浙大幼儿园，物业安保配套完善，物业管理水平好，每一幢楼都有一个管家，小区有多个儿童游乐场所，还有篮球场，小区内人车分流。绿化也好 .发商为:杭州越秀房地产开发有限公司，越秀自己的物业，小区安保很负责，小区环境优美。
                  ",,"
                    
离地铁16号线青山湖科技城站700米。小区大门口有K32路公交车直达临安东站，475公交车道余杭,381路公交车到杭州六公园北站,青山湖高速收费站
                  ",,,,,,,,
515,['美丽湾'],临安-临安,119.72039827077,30.224049764284,260,20804,提前预约随时可看,103117780146,0,3室2厅1厨2卫,中楼层 (共30层),124.98㎡,暂无数据,南,钢混结构,精装,,2021-10-24,商品房,2018-05-30,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,"
                    锦溪边 视野好 自住精装 小区环境好
                  ",,"
                    小区是地上集团开发，自带泳池，会所，次新小区，电梯房，配套成熟，适合各种年龄段居住
                  ",,平层,板楼,两梯四户,有,"
                    小区是地上集团开发，自带泳池，会所，次新小区，电梯房，配套成熟，绿化30%
                  ",,,,"
                    此房是三室两厅一厨两卫设计，户型方正，是房东自住的精装修。。
                  ",,,,,,
516,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,208,25797,提前预约随时可看,103117812870,0,2室1厅1厨1卫,中楼层 (共33层),80.63㎡,暂无数据,南,钢混结构,毛坯,,2021-10-26,商品房,2019-06-05,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    
房子产权清晰，楼层好，视野开阔，采光好，小区自带幼儿园
                  ",,,"
                    小区自带星汇天地综合体，有电影院，KTV，联华 邻家大药房、中国银行等，小区门口有公交站可直接到蒋村，出行方便，距离地铁口青山湖科技城站（在建）大概600米左右（来自百度地图），宝龙城市广场（在建）大概400米左右（来自百度地图）
                  ",平层,板楼,两梯四户,有,"
                    
小区绿化好，小区自带浙大幼儿园，物业安保配套完善，物业管理水平好，每一幢楼都有一个管家，小区有多个儿童游乐场所，还有篮球场，小区内人车分流
                  ",,"
                    
小区位置位于大园路和科技大道交汇处，往东沿科技大道直行到杭州。到临安南门口有K37路，K38路，K39路。出行方便
                  ",,,,,,,,
517,['汇锦华庭北区'],临安-临安,119.7158502258,30.235370922587,229,23046,提前预约随时可看,103117704094,0,3室2厅1厨1卫,中楼层 (共23层),99.37㎡,暂无数据,南,框架结构,毛坯,,2021-10-19,商品房,2012-12-31,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,"
                    广场边 离广场地铁站50米 房楼层好  户型方正 采光好
                  ",,"
                    本小区环境优美，绿化覆盖高，设施配套齐全，人车分流，适宜各阶段人群居住，旁边就是苕溪和广场!
                  ","
                    人民广场就在旁边， 旁边有广场花园 城中花园 云中绿园 金色时代等多个高档小区， 1000m之内有晨曦 实验 石镜 四中 天高 清大学习吧 商场有万华 联华 新华书店等。
                  ",平层,板楼,两梯四户,有,,,"
                    出小区过街就是人民广场，有地铁，有公共自行车点， 公交有有805，806，824，819，811，810，802等多个公交站牌出门方便!
                  ",,,,,,,,
518,['中天万科启宸'],临安-临安,119.715406,30.243344,237.5,22855,提前预约随时可看,103117608907,0,3室2厅1厨2卫,低楼层 (共22层),103.92㎡,81.51㎡,南,钢混结构,精装,,2021-10-12,商品房,2021-09-27,普通住宅,未满两年,共有,"
                                有抵押 30万元 杭州银行 业主自还
                              ",已上传房本照片,"
                    新小区此房楼层好，精装修，置办些生活用品、家俱就可以入住 ..
                  ",,,,平层,板楼,一梯四户,暂无数据,"
                    万科 中天两大开发商合作开发，实力雄厚 物业管理严格 小区南门有幼儿 园，公立的马溪幼儿园，公立的杭师大附属，二中 离人民广场地铁口1.4公里（百度地图） 周bian配套齐全
                  ",,"
                    地铁人民广场站1.4公里 地铁16号线到绿汀路可换乘5号线、3号线到达杭州的每个角落自驾杭州萧山机场走杭瑞高速转绕城直达机场，或者公共交通地铁也可换乘到达，自驾未来科技城可走科技大道快速路 到达文一西路，余杭塘路
                  ",,"
                    整个小区开发商精装修交付，入住后没有其他用户敲敲打打 的噪声的烦恼! 一拖四中-央空调 热水器 厨卫用品配齐啦 买点软装 沙发 床衣柜 就可以入住，
                  ",,,,,,
519,['恒福嘉城'],临安-青山湖科技城,119.83387,30.272785,165,23058,提前预约随时可看,103117517723,0,2室2厅1厨2卫,中楼层 (共31层),71.56㎡,暂无数据,南,钢混结构,毛坯,,2021-10-07,商品房,2021-10-08,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    小面积 低总价 定居杭州之佳选 近16号线地铁 配套齐全
                  ","
                    房子是2021年1月1日交付的，两的前的网红盘。房子楼下就是奢华有内涵的家居家饰先锋聚合品牌-第六空间。户型是两室两厅一厨两卫。客厅、主卧、次卧均朝南。
                  ","
                    适合考虑在杭州定居预算又不是很多的同学，很低的总价给了你一个在杭州临安区青山湖版块以及后续小孩上学的便利，小区版块生活配套已相对完善。
                  ","
                    小区东面即是大园路，往北一个红绿灯有狮山公园。大园路往南1000米有宝龙广场，建筑面积约为130000方，距离青山湖科技城站地铁口A口的步行1100米到达
                  ",平层,板楼,一梯六户,有,,,,,,,,,,,
520,['绿城·文西诚园'],临安-临安,119.830766,30.275634,315,24280,提前预约随时可看,103117494008,1,3室2厅1厨2卫,低楼层 (共17层),129.74㎡,暂无数据,南,框架结构,毛坯,,2021-10-05,商品房,2021-08-27,普通住宅,未满两年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,"
                    
绿城品质，绿城物业，双阳台，视野开阔。自带泳池
                  ",,"
                    北面是科研院所，年轻人上班方便，环境优雅适合老人和小孩，出行也很便利小面积总价低，小区环境好，绿城物业，小区自带游泳池，儿童游乐园，适合自己住，
                  ","
                    
距离宝龙近，宝龙9万方综合体 ，16号线轻轨（青山湖科技城站） 2、小区自带游泳池、儿童娱乐场所等。 3、宝龙旁边就有万豪酒店、写字楼、世纪联华、酒吧、KTV、影视城、中国银行、菜场、、理发、餐厅等等。、距离宝龙近，宝龙9万方综合体，16号线轻轨
                  ",平层,板楼,一梯一户,暂无数据,"
                    
次新房，绿城物业刚交付，标准的四房二卫户型，小区自带游泳池，儿童游乐园，环境好，
                  ","
                    该房没有满二年，有增值税5.3%，契税首套1%，二套契税1%，个税看自己名下房源的.
                  ",,,"
                    
房子是毛坯的，可以根据自己的喜好进行装修，有两个卫生间，房间很大。装修起来很灵活
                  ",,,,,,
521,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,306,21873,提前预约随时可看,103117634254,0,3室2厅1厨2卫,中楼层 (共32层),139.9㎡,暂无数据,南 北,钢混结构,毛坯,,2021-10-14,商品房,2020-05-18,普通住宅,未满两年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,"
                    此房诚心出售，离青山湖科技城地铁站比较近，河景房
                  ",,,"
                    小区自带星汇天地有：万豪酒店、写字楼、世纪联华、酒吧、KTV、影视城、中国银行、菜场、、理发、餐厅等等。 2、小区有游泳池、健身房、瑜咖室、室外多功能球场、儿童活动。 3、青山中医院 4、宝龙9万方综合体 5、16号线轻轨 6，青山中医院
                  ",平层,板楼,两梯三户,有,"
                    。此小区的开发商为：越秀房地产开发有限公司，越秀自己的物业，物业服务人员很热情，安保人员也很负责，小区安保很好，小区环境优美，秀星汇城属于较宜居的小区
                  ",,,,,,,,,,
522,['中天万科启宸'],临安-临安,119.715406,30.243344,230.2,22838,提前预约随时可看,103117520324,1,3室2厅1厨2卫,中楼层 (共18层),100.8㎡,81.53㎡,南,钢混结构,精装,,2021-10-07,商品房,2021-09-02,普通住宅,未满两年,非共有,"
                                有抵押 110万元 农业银行 业主自还
                              ",已上传房本照片,"
                    
新小区此房楼层好，精装修，置办些生活用品、家俱就可以入住
                  ",,"
                    小区人车分流，环境好。一家子带小孩子，幼儿上公立幼儿园方便，、就在小区的南门，，公立是杭师大附属小
                  ",,平层,板楼,两梯四户,有,"
                    
小区南门有幼儿 园，公立的马溪幼儿园，公立的杭师大附属，二中 离人民广场地铁口1.4公里（百度地图）
                  ",,,,"
                    
小区都是精装修交付的，本房三房二厅二卫一厨，三开间朝南，客厅和次卧带阳台
                  ",,,,,,
523,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,278,23560,提前预约随时可看,103117660033,1,4室2厅1厨2卫,低楼层 (共33层),118㎡,暂无数据,东,钢混结构,毛坯,,2021-10-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,"
                    东边套，采光好，通风效果好，房东诚心出售

                  ",,,"
                    
小区门口有世纪华联，自带星汇天地综合体，南有宝龙广场大型商场，小区西南方向有菜场，银行，青山湖中医院。高德导航距离青山湖科技城1.5公里左右。配套齐全，生活方便
                  ",平层,板楼,两梯四户,有,"
                    
越秀星汇城项目位于杭州城西科创大走廊的青山湖科技城板块，青山湖科技城是省级重.点建设项目，星汇城致力于打造成青山湖科技城HOPSCA综合体。星汇城项目总占地面积为1050亩，总建筑面积约为150万
                  ",,"
                    轻轨地铁800米 ，K31/37/465/599公交、科技大道、杭瑞高速和02省道可到临安、余杭、横畈、杭州
                  ",,,,,,,,
524,['中天万科启宸'],临安-临安,119.715406,30.243344,315,24545,提前预约随时可看,103117538428,1,4室2厅1厨2卫,低楼层 (共18层),128.34㎡,暂无数据,南,钢混结构,精装,,2021-10-08,商品房,2021-09-17,普通住宅,未满两年,共有,"
                                有抵押
                              ",已上传房本照片,"
                    新小区此房楼层好，精装修，置办些生活用品、家俱就可以入住。
                  ",,"
                    
小区人车分流，环境好。一家子带小孩子，幼儿上公立幼儿园方便，、就在小区的南门，，公立是杭师大附属小
                  ",,平层,板楼,两梯四户,有,"
                    小区南门有幼儿 园，公立的马溪幼儿园，公立的杭师大附属，二中 离人民广场地铁口1.4公里（百度地图）
                  ",,,,"
                    小区都是精装修交付的，带地暖，置办一些家具家电就可以入住。 很适合不愿意花时间去装修的客户。               
                  ",,,,,,
